workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Coverage,pmp_L2C_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ult_aditya_warmup5000000_sim5000000-459.GemsFDTD-1211B,1.0403,1.2370,1.1891,0.5281,0.5643,0.3946,0.5159,0.8907,0.3148,15786,1937,9484,20644
ult_aditya_warmup5000000_sim5000000-429.mcf-184B,0.1000,0.1188,1.1872,0.1635,0.2281,0.0000,0.0674,0.0038,0.1859,259,67826,90487,396371
ult_aditya_warmup5000000_sim5000000-436.cactusADM-1804B,1.9157,2.2558,1.1775,0.7204,0.5175,0.2507,0.5166,0.6731,0.9882,7782,3780,2018,24
ult_aditya_warmup5000000_sim5000000-444.namd-166B,3.4260,3.5861,1.0467,0.5374,0.8757,0.0000,0.8724,0.5017,1.0000,4262,4233,656,0
ult_aditya_warmup5000000_sim5000000-482.sphinx3-234B,1.0954,1.7689,1.6148,0.6923,0.7757,0.5487,0.7429,0.8127,0.6032,22675,5225,22745,14965
ult_aditya_warmup5000000_sim5000000-600.perlbench_s-210B,3.1553,3.1564,1.0003,0.3263,0.4462,0.0000,0.4113,0.2560,0.8559,214,622,95,16
ult_aditya_warmup5000000_sim5000000-465.tonto-44B,2.4630,2.4621,0.9997,0.6282,0.5000,0.3773,0.4811,0.7931,0.5306,23,6,26,23
ult_aditya_warmup5000000_sim5000000-473.astar-359B,0.1571,0.1688,1.0747,0.1192,0.3194,0.0396,0.2670,0.1290,0.0963,17632,119011,5602,52592
ult_aditya_warmup5000000_sim5000000-483.xalancbmk-716B,2.5160,2.6275,1.0443,0.5552,0.4428,0.6187,0.4372,0.5602,0.2604,33580,26366,263,747
ult_aditya_warmup5000000_sim5000000-401.bzip2-226B,3.3208,3.3280,1.0022,0.9300,0.7670,0.0704,0.7670,0.9300,0.0000,1502,113,0,0
ult_aditya_warmup5000000_sim5000000-470.lbm-1274B,0.3654,0.3327,0.9103,0.8825,0.7710,0.6038,0.7710,0.8825,0.0000,27591,3673,0,0
ult_aditya_warmup5000000_sim5000000-454.calculix-460B,3.2050,3.4979,1.0914,0.7897,0.8998,0.8105,0.8868,0.7910,0.7447,48459,12804,1275,437
ult_aditya_warmup5000000_sim5000000-437.leslie3d-271B,1.9342,3.7527,1.9402,0.9917,0.9598,0.9548,0.9598,0.9917,0.0000,11774,98,0,0
ult_aditya_warmup5000000_sim5000000-435.gromacs-111B,2.3914,2.4102,1.0078,0.3365,0.8340,0.0057,0.0000,0.1987,0.6219,432,1742,653,397
ult_aditya_warmup5000000_sim5000000-429.mcf-217B,1.5601,2.5826,1.6555,0.7780,0.8430,0.5641,0.8369,0.8252,0.6868,20044,4245,8636,3938
ult_aditya_warmup5000000_sim5000000-429.mcf-22B,0.7236,0.7675,1.0606,0.5437,0.3315,0.0629,0.3257,0.6762,0.4865,10636,5094,17740,18722
ult_aditya_warmup5000000_sim5000000-453.povray-800B,2.4652,2.4572,0.9968,0.3144,0.7518,0.0000,0.7234,0.3127,0.9808,6306,13860,51,1
ult_aditya_warmup5000000_sim5000000-465.tonto-1914B,2.5620,2.5813,1.0075,0.6029,0.5200,0.6644,0.2426,0.6521,0.2265,8591,4584,390,1332
ult_aditya_warmup5000000_sim5000000-453.povray-887B,2.4918,2.4834,0.9966,0.3268,0.8689,0.0000,0.8689,0.3262,0.8571,6350,13115,18,3
ult_aditya_warmup5000000_sim5000000-401.bzip2-38B,1.7206,2.0716,1.2040,0.8371,0.9548,0.2020,0.6930,0.3518,0.8654,299,551,12617,1963
ult_aditya_warmup5000000_sim5000000-459.GemsFDTD-1418B,1.3022,2.1601,1.6588,0.8661,0.7835,0.6889,0.7811,0.8526,0.9216,20386,3524,5349,455
ult_aditya_warmup5000000_sim5000000-483.xalancbmk-127B,0.5469,0.6130,1.1209,0.2753,0.4675,0.1408,0.4082,0.3443,0.2610,13873,26422,51083,144610
ult_aditya_warmup5000000_sim5000000-481.wrf-1170B,3.0005,3.0415,1.0137,0.3372,0.4765,0.0000,0.4746,0.2095,0.9924,703,2652,649,5
ult_aditya_warmup5000000_sim5000000-464.h264ref-64B,2.4570,2.7558,1.1216,0.5760,0.8212,0.6419,0.7405,0.6620,0.4357,8290,4232,3347,4335
ult_aditya_warmup5000000_sim5000000-445.gobmk-17B,1.4084,1.4421,1.0239,0.2147,0.5451,0.0542,0.2980,0.2325,0.2089,774,2555,2114,8007
ult_aditya_warmup5000000_sim5000000-464.h264ref-30B,2.8339,2.8275,0.9977,0.5998,0.3997,0.3967,0.3886,0.7655,0.1554,2774,850,210,1141
ult_aditya_warmup5000000_sim5000000-433.milc-274B,1.1056,1.2099,1.0943,0.9251,0.4706,0.3423,0.4699,0.9517,0.2219,27152,1379,239,838
ult_aditya_warmup5000000_sim5000000-403.gcc-48B,3.3697,3.4815,1.0332,0.4430,0.6532,0.0000,0.6473,0.4420,0.4557,3891,4912,319,381
ult_aditya_warmup5000000_sim5000000-444.namd-44B,3.5860,3.6239,1.0106,0.4539,0.4971,0.0000,0.4813,0.4275,1.0000,1805,2417,204,0
ult_aditya_warmup5000000_sim5000000-600.perlbench_s-570B,3.3075,3.3047,0.9992,0.3153,0.3420,0.1715,0.3371,0.1863,0.9673,144,629,148,5
ult_aditya_warmup5000000_sim5000000-456.hmmer-88B,3.1331,3.1523,1.0061,0.6240,0.2252,0.1359,0.2692,0.6847,0.4029,3045,1402,492,729
ult_aditya_warmup5000000_sim5000000-435.gromacs-226B,3.8724,3.9286,1.0145,0.2653,0.4636,0.0016,0.4608,0.2380,1.0000,1229,3935,192,0
ult_aditya_warmup5000000_sim5000000-458.sjeng-31B,1.3779,1.3760,0.9986,0.0495,0.0671,0.0000,0.0000,0.1014,0.0268,326,2889,198,7177
ult_aditya_warmup5000000_sim5000000-437.leslie3d-273B,2.2601,3.0704,1.3585,0.8956,0.8073,0.6030,0.7962,0.8636,0.9800,16092,2541,6909,141
ult_aditya_warmup5000000_sim5000000-400.perlbench-41B,1.2087,1.1791,0.9755,0.1786,0.3993,0.0237,0.0000,0.2161,0.1711,2528,9168,9986,48370
ult_aditya_warmup5000000_sim5000000-464.h264ref-57B,2.7651,2.7863,1.0077,0.5563,0.5598,0.4060,0.5085,0.7184,0.2658,3322,1302,686,1895
ult_aditya_warmup5000000_sim5000000-429.mcf-192B,0.0911,0.1061,1.1647,0.0859,0.1806,0.0011,0.0000,0.0131,0.0866,44,3316,30168,318377
ult_aditya_warmup5000000_sim5000000-453.povray-252B,2.3457,2.3467,1.0004,0.2879,0.5232,0.0000,0.4970,0.2821,0.9384,4662,11862,137,9
ult_aditya_warmup5000000_sim5000000-444.namd-23B,3.5594,3.6201,1.0170,0.4540,0.8236,0.0000,0.8176,0.4466,0.9776,4244,5258,131,3
ult_aditya_warmup5000000_sim5000000-458.sjeng-1088B,1.3455,1.3463,1.0006,0.0456,0.0775,0.0000,0.0235,0.0699,0.0312,263,3497,197,6121
ult_aditya_warmup5000000_sim5000000-434.zeusmp-10B,2.7236,3.2186,1.1817,0.1756,0.6271,0.2478,0.5988,0.1459,0.4174,7952,46537,2790,3895
ult_aditya_warmup5000000_sim5000000-433.milc-127B,0.5645,0.5493,0.9730,0.9970,0.1936,0.3694,0.1926,1.0000,0.9383,24223,0,1156,76
ult_aditya_warmup5000000_sim5000000-447.dealII-3B,2.8341,2.8398,1.0020,0.7400,0.8403,0.4868,0.8403,0.7397,1.0000,5343,1880,7,0
ult_aditya_warmup5000000_sim5000000-450.soplex-247B,0.4049,0.5580,1.3783,0.5936,0.6008,0.3169,0.4371,0.8280,0.4494,46003,9558,40587,49730
ult_aditya_warmup5000000_sim5000000-401.bzip2-7B,2.0466,2.1125,1.0322,0.3989,0.5106,0.1171,0.1899,0.4256,0.3782,2424,3272,2782,4574
ult_aditya_warmup5000000_sim5000000-416.gamess-875B,2.8231,2.8324,1.0033,0.2208,0.5153,0.0000,0.5153,0.1817,1.0000,410,1846,113,0
ult_aditya_warmup5000000_sim5000000-401.bzip2-277B,2.0844,1.7792,0.8536,0.1617,0.0834,0.0000,0.0129,0.0797,0.1620,29,335,13689,70802
ult_aditya_warmup5000000_sim5000000-482.sphinx3-1100B,1.1527,1.8097,1.5699,0.6596,0.7760,0.6507,0.7277,0.8561,0.4557,30501,5126,15644,18686
ult_aditya_warmup5000000_sim5000000-454.calculix-104B,1.9375,1.9377,1.0001,1.0000,0.2500,0.2500,0.2500,1.0000,0.0000,3,0,0,0
ult_aditya_warmup5000000_sim5000000-481.wrf-455B,1.7980,2.9716,1.6528,0.9152,0.8863,0.8821,0.8861,0.9195,0.5670,33715,2950,258,197
