workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Coverage,pmp_L2C_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ult_aditya_warmup5000000_sim5000000-482.sphinx3-417B,1.2470,1.6513,1.3242,0.6417,0.7065,0.6597,0.6628,0.8995,0.3043,29919,3344,7731,17674
ult_aditya_warmup5000000_sim5000000-456.hmmer-191B,3.4690,3.5174,1.0139,0.8164,0.9167,0.0908,0.7190,0.8162,0.8269,3518,792,43,9
ult_aditya_warmup5000000_sim5000000-458.sjeng-283B,1.4030,1.4015,0.9989,0.0456,0.0542,0.0000,0.0000,0.0723,0.0326,230,2951,212,6290
ult_aditya_warmup5000000_sim5000000-444.namd-33B,3.5182,3.6636,1.0413,0.5159,0.8948,0.0000,0.8920,0.4948,1.0000,2511,2564,221,0
ult_aditya_warmup5000000_sim5000000-444.namd-426B,3.4245,3.5989,1.0509,0.5611,0.8179,0.0947,0.8064,0.5480,0.6788,3405,2808,467,221
ult_aditya_warmup5000000_sim5000000-462.libquantum-1343B,1.2984,2.2169,1.7075,0.9986,0.8979,0.4215,0.8979,0.9986,0.0000,101510,147,0,0
ult_aditya_warmup5000000_sim5000000-464.h264ref-97B,2.7331,2.7311,0.9992,0.5866,0.5008,0.3449,0.4936,0.7583,0.1441,2754,878,203,1206
ult_aditya_warmup5000000_sim5000000-602.gcc_s-1850B,0.6115,1.4684,2.4012,0.8365,0.9012,0.7881,0.9006,0.8400,0.5697,99088,18870,887,670
ult_aditya_warmup5000000_sim5000000-403.gcc-17B,0.8978,1.2380,1.3789,0.3870,0.8179,0.2482,0.8061,0.4728,0.3769,3978,4435,26998,44637
ult_aditya_warmup5000000_sim5000000-410.bwaves-945B,3.0965,3.0965,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ult_aditya_warmup5000000_sim5000000-459.GemsFDTD-1491B,0.4083,0.7343,1.7982,0.9078,0.7715,0.7223,0.7730,0.9100,0.1315,94712,9370,38,251
ult_aditya_warmup5000000_sim5000000-433.milc-337B,0.7740,0.8686,1.1222,0.9740,0.5877,0.5293,0.5877,0.9773,0.5338,34892,811,142,124
ult_aditya_warmup5000000_sim5000000-482.sphinx3-1297B,1.4568,2.0298,1.3933,0.7364,0.7999,0.7595,0.7619,0.9224,0.2824,37680,3169,4725,12009
ult_aditya_warmup5000000_sim5000000-456.hmmer-327B,3.4709,3.5127,1.0121,0.8192,0.8033,0.1155,0.6770,0.8192,0.8182,3730,823,27,6
ult_aditya_warmup5000000_sim5000000-473.astar-153B,1.8230,1.6732,0.9178,0.1639,0.0000,0.1310,0.3191,0.2263,0.1401,1842,6296,2990,18351
ult_aditya_warmup5000000_sim5000000-450.soplex-92B,0.4195,0.5951,1.4185,0.4546,0.6451,0.2982,0.5270,0.6336,0.3736,28667,16578,37340,62606
ult_aditya_warmup5000000_sim5000000-458.sjeng-767B,1.3616,1.3593,0.9983,0.0352,0.0419,0.0000,0.0000,0.0597,0.0209,200,3152,119,5587
ult_aditya_warmup5000000_sim5000000-400.perlbench-50B,2.5283,2.5248,0.9986,0.4194,0.3250,0.0725,0.3000,0.4040,1.0000,61,90,4,0
ult_aditya_warmup5000000_sim5000000-459.GemsFDTD-1169B,3.7621,3.8396,1.0206,0.9247,0.8987,0.7111,0.9094,0.9263,0.6574,16530,1315,71,37
ult_aditya_warmup5000000_sim5000000-410.bwaves-1963B,0.6940,1.4293,2.0595,0.9801,0.7282,0.6325,0.7282,0.9801,1.0000,66307,1344,18,0
ult_aditya_warmup5000000_sim5000000-403.gcc-16B,2.2925,2.3039,1.0050,0.1721,0.4810,0.1450,0.3410,0.2849,0.1416,492,1235,904,5482
ult_aditya_warmup5000000_sim5000000-437.leslie3d-134B,2.3991,3.4713,1.4469,0.6141,0.8342,0.3858,0.4317,0.7550,0.4296,16477,5347,7156,9502
ult_aditya_warmup5000000_sim5000000-453.povray-576B,2.4791,2.4776,0.9994,0.2588,0.7315,0.0000,0.5139,0.2564,0.5826,4010,11628,67,48
ult_aditya_warmup5000000_sim5000000-445.gobmk-30B,1.3712,1.3913,1.0147,0.1360,0.3412,0.0000,0.0000,0.2131,0.1014,1152,4255,1223,10837
ult_aditya_warmup5000000_sim5000000-482.sphinx3-1522B,1.2131,1.9440,1.6025,0.6851,0.8082,0.6856,0.7730,0.8757,0.4497,33239,4718,13819,16909
ult_aditya_warmup5000000_sim5000000-483.xalancbmk-736B,2.5755,2.5965,1.0082,0.6729,0.0000,0.4432,0.0000,0.6908,0.3348,52849,23652,1360,2702
ult_aditya_warmup5000000_sim5000000-437.leslie3d-265B,2.2002,3.0080,1.3672,0.8919,0.7900,0.5863,0.7812,0.8692,0.9611,16420,2472,5962,241
ult_aditya_warmup5000000_sim5000000-481.wrf-1254B,1.1232,1.7060,1.5188,0.9240,0.9349,0.8419,0.9343,0.9242,0.9122,39528,3242,592,57
ult_aditya_warmup5000000_sim5000000-481.wrf-816B,1.5340,3.2824,2.1398,0.9743,0.9619,0.9501,0.9619,0.9767,0.1765,64782,1543,36,168
ult_aditya_warmup5000000_sim5000000-445.gobmk-36B,1.4408,1.4635,1.0158,0.1357,0.3253,0.0650,0.0000,0.1739,0.1226,621,2951,1275,9122
ult_aditya_warmup5000000_sim5000000-600.perlbench_s-1273B,3.1774,3.1781,1.0002,0.7500,0.4000,0.6000,0.4000,0.6667,1.0000,2,1,1,0
ult_aditya_warmup5000000_sim5000000-462.libquantum-714B,1.4798,1.4164,0.9572,0.9986,0.7922,0.0050,0.7922,0.9986,0.0000,108179,153,0,0
ult_aditya_warmup5000000_sim5000000-445.gobmk-2B,1.6429,1.6479,1.0031,0.2253,0.3442,0.0182,0.0000,0.2425,0.2206,1109,3465,3701,13074
ult_aditya_warmup5000000_sim5000000-602.gcc_s-2226B,0.7532,0.8179,1.0860,0.7758,0.2474,0.0552,0.2406,0.8199,0.4108,80624,17708,4882,7001
ult_aditya_warmup5000000_sim5000000-481.wrf-196B,3.3572,3.7234,1.1091,0.9294,0.9230,0.9066,0.9226,0.9312,0.5980,17240,1273,61,41
ult_aditya_warmup5000000_sim5000000-481.wrf-1281B,1.1156,1.7167,1.5388,0.9410,0.9328,0.8592,0.9322,0.9428,0.3469,30600,1856,34,64
ult_aditya_warmup5000000_sim5000000-429.mcf-51B,0.1017,0.1058,1.0404,0.1719,0.1770,0.0130,0.1153,0.1385,0.2221,28273,175879,30247,105946
ult_aditya_warmup5000000_sim5000000-437.leslie3d-232B,1.6255,2.6025,1.6010,0.9187,0.7859,0.5811,0.7730,0.8989,0.9807,19791,2226,6894,136
ult_aditya_warmup5000000_sim5000000-482.sphinx3-1395B,1.4413,2.0571,1.4273,0.8324,0.8027,0.7677,0.8007,0.9351,0.4084,44442,3085,4701,6809
ult_aditya_warmup5000000_sim5000000-444.namd-120B,3.4510,3.5149,1.0185,0.5492,0.8915,0.0000,0.8722,0.5399,1.0000,9686,8253,368,0
ult_aditya_warmup5000000_sim5000000-435.gromacs-134B,2.3207,2.3366,1.0069,0.3459,0.8155,0.0060,0.0000,0.2468,0.5437,541,1651,597,501
ult_aditya_warmup5000000_sim5000000-473.astar-42B,0.5425,0.5724,1.0551,0.0850,0.4660,0.0560,0.0000,0.1121,0.0441,14463,114520,3764,81611
ult_aditya_warmup5000000_sim5000000-410.bwaves-2097B,0.6946,1.4123,2.0333,0.9827,0.7164,0.6241,0.7164,0.9827,1.0000,65469,1155,14,0
ult_aditya_warmup5000000_sim5000000-459.GemsFDTD-1320B,1.9051,1.9817,1.0402,0.1325,0.2536,0.0532,0.0000,0.1875,0.0319,10923,47347,1015,30836
ult_aditya_warmup5000000_sim5000000-471.omnetpp-188B,0.4150,0.3717,0.8957,0.2159,0.2175,0.0941,0.1911,0.2570,0.2071,6746,19505,25335,97024
ult_aditya_warmup5000000_sim5000000-444.namd-321B,3.5535,3.5710,1.0049,0.4497,0.8796,0.0000,0.8796,0.4463,1.0000,4709,5842,65,0
ult_aditya_warmup5000000_sim5000000-459.GemsFDTD-765B,0.9300,1.0855,1.1672,0.4850,0.5235,0.3851,0.4526,0.9081,0.2492,16338,1653,8044,24235
ult_aditya_warmup5000000_sim5000000-437.leslie3d-149B,2.3525,3.4271,1.4568,0.6535,0.8130,0.3849,0.4201,0.7642,0.5011,15680,4839,7465,7431
ult_aditya_warmup5000000_sim5000000-435.gromacs-228B,3.8899,3.9286,1.0100,0.2846,0.4967,0.0015,0.4940,0.2474,1.0000,1208,3675,254,0
