workload,ipc_no,ipc_adaptive,speedup_adaptive,accuracy_overall_adaptive,coverage_llc_adaptive,accuracy_l1d_adaptive,accuracy_l2c_adaptive,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless,ipc_default,speedup_default,accuracy_overall_default,coverage_llc_default,accuracy_l1d_default,accuracy_l2c_default
ya_warmup5000000_sim5000000-482.sphinx3-417B,1.2470,1.6311,1.3081,0.5175,0.7617,0.9789,0.3567,19084,411,19949,35980,1.6513,1.3242,0.6417,0.7065,0.8995,0.3043
ya_warmup5000000_sim5000000-456.hmmer-191B,3.4690,3.5155,1.0134,0.9644,0.8833,0.9334,0.9844,1233,88,2017,32,3.5174,1.0139,0.8164,0.9167,0.8162,0.8269
ya_warmup5000000_sim5000000-458.sjeng-283B,1.4030,1.3994,0.9975,0.0349,0.0618,0.0494,0.0344,17,327,370,10390,1.4015,0.9989,0.0456,0.0542,0.0723,0.0326
ya_warmup5000000_sim5000000-444.namd-33B,3.5182,3.6594,1.0401,0.8162,0.9097,0.6038,1.0000,445,292,852,0,3.6636,1.0413,0.5159,0.8948,0.4948,1.0000
ya_warmup5000000_sim5000000-444.namd-426B,3.4245,3.5928,1.0491,0.7247,0.8558,0.6907,0.7524,833,373,1115,367,3.5989,1.0509,0.5611,0.8179,0.5480,0.6788
ya_warmup5000000_sim5000000-462.libquantum-1343B,1.2984,2.2169,1.7075,1.0000,0.8979,1.0000,0.0000,101510,0,0,0,2.2169,1.7075,0.9986,0.8979,0.9986,0.0000
ya_warmup5000000_sim5000000-464.h264ref-97B,2.7331,2.7298,0.9988,0.4648,0.5853,0.8606,0.1006,2117,343,269,2404,2.7311,0.9992,0.5866,0.5008,0.7583,0.1441
ya_warmup5000000_sim5000000-602.gcc_s-1850B,0.6115,1.4407,2.3560,0.9424,0.9126,0.9516,0.9272,54429,2766,32419,2546,1.4684,2.4012,0.8365,0.9012,0.8400,0.5697
ya_warmup5000000_sim5000000-403.gcc-17B,0.8978,1.2701,1.4147,0.3551,0.8652,0.6577,0.3544,146,76,32798,59752,1.2380,1.3789,0.3870,0.8179,0.4728,0.3769
ya_warmup5000000_sim5000000-410.bwaves-945B,3.0965,3.0965,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,3.0965,1.0000,0.0000,0.0000,0.0000,0.0000
ya_warmup5000000_sim5000000-459.GemsFDTD-1491B,0.4083,0.8588,2.1033,0.9109,0.8619,0.8916,0.9250,43497,5291,62284,5053,0.7343,1.7982,0.9078,0.7715,0.9100,0.1315
ya_warmup5000000_sim5000000-433.milc-337B,0.7740,0.8670,1.1201,0.7591,0.5976,0.9948,0.5394,22617,119,13154,11233,0.8686,1.1222,0.9740,0.5877,0.9773,0.5338
ya_warmup5000000_sim5000000-482.sphinx3-1297B,1.4568,1.9929,1.3680,0.6474,0.8333,0.9795,0.4308,25278,530,17047,22525,2.0298,1.3933,0.7364,0.7999,0.9224,0.2824
ya_warmup5000000_sim5000000-456.hmmer-327B,3.4709,3.5139,1.0124,0.9798,0.8525,0.9363,0.9983,940,64,2363,4,3.5127,1.0121,0.8192,0.8033,0.8192,0.8182
ya_warmup5000000_sim5000000-473.astar-153B,1.8230,1.7594,0.9651,0.1775,0.0000,0.4103,0.1725,318,457,6287,30149,1.6732,0.9178,0.1639,0.0000,0.2263,0.1401
ya_warmup5000000_sim5000000-450.soplex-92B,0.4195,0.6165,1.4694,0.4023,0.7059,0.7600,0.3948,2786,880,68961,105717,0.5951,1.4185,0.4546,0.6451,0.6336,0.3736
ya_warmup5000000_sim5000000-458.sjeng-767B,1.3616,1.3564,0.9962,0.0284,0.0596,0.0898,0.0272,22,223,332,11893,1.3593,0.9983,0.0352,0.0419,0.0597,0.0209
ya_warmup5000000_sim5000000-400.perlbench-50B,2.5283,2.5250,0.9987,0.9464,0.6250,0.7857,1.0000,11,3,42,0,2.5248,0.9986,0.4194,0.3250,0.4040,1.0000
ya_warmup5000000_sim5000000-459.GemsFDTD-1169B,3.7621,3.8375,1.0200,0.9354,0.8989,0.9536,0.7244,15481,754,1012,385,3.8396,1.0206,0.9247,0.8987,0.9263,0.6574
ya_warmup5000000_sim5000000-410.bwaves-1963B,0.6940,1.5570,2.2434,0.9998,0.7484,0.9996,1.0000,36050,15,31115,0,1.4293,2.0595,0.9801,0.7282,0.9801,1.0000
ya_warmup5000000_sim5000000-403.gcc-16B,2.2925,2.3089,1.0071,0.1348,0.6528,0.3748,0.1241,193,322,1439,10152,2.3039,1.0050,0.1721,0.4810,0.2849,0.1416
ya_warmup5000000_sim5000000-437.leslie3d-134B,2.3991,3.5052,1.4611,0.5863,0.8530,0.8509,0.5243,6154,1078,16189,14688,3.4713,1.4469,0.6141,0.8342,0.7550,0.4296
ya_warmup5000000_sim5000000-453.povray-576B,2.4791,2.4867,1.0031,0.2783,0.7407,0.2735,0.2921,384,1020,144,349,2.4776,0.9994,0.2588,0.7315,0.2564,0.5826
ya_warmup5000000_sim5000000-445.gobmk-30B,1.3712,1.3947,1.0171,0.1429,0.3521,0.1403,0.1429,31,190,2280,13675,1.3913,1.0147,0.1360,0.3412,0.2131,0.1014
ya_warmup5000000_sim5000000-482.sphinx3-1522B,1.2131,1.9639,1.6188,0.6371,0.8523,0.9774,0.4847,23227,537,25728,27347,1.9440,1.6025,0.6851,0.8082,0.8757,0.4497
ya_warmup5000000_sim5000000-483.xalancbmk-736B,2.5755,2.5794,1.0015,0.4382,0.0000,0.6276,0.2158,12460,7392,3650,13260,2.5965,1.0082,0.6729,0.0000,0.6908,0.3348
ya_warmup5000000_sim5000000-437.leslie3d-265B,2.2002,3.0975,1.4078,0.9678,0.8476,0.9318,0.9773,4183,306,16678,388,3.0080,1.3672,0.8919,0.7900,0.8692,0.9611
ya_warmup5000000_sim5000000-481.wrf-1254B,1.1232,1.8247,1.6245,0.9637,0.9443,0.9659,0.9597,26367,931,14525,610,1.7060,1.5188,0.9240,0.9349,0.9242,0.9122
ya_warmup5000000_sim5000000-481.wrf-816B,1.5340,3.2935,2.1470,0.9736,0.9624,0.9757,0.9039,62351,1550,1759,187,3.2824,2.1398,0.9743,0.9619,0.9767,0.1765
ya_warmup5000000_sim5000000-445.gobmk-36B,1.4408,1.4720,1.0217,0.1579,0.4251,0.2632,0.1562,60,168,2209,11936,1.4635,1.0158,0.1357,0.3253,0.1739,0.1226
ya_warmup5000000_sim5000000-600.perlbench_s-1273B,3.1774,3.1781,1.0002,1.0000,0.4000,1.0000,1.0000,1,0,1,0,3.1781,1.0002,0.7500,0.4000,0.6667,1.0000
ya_warmup5000000_sim5000000-462.libquantum-714B,1.4798,1.4132,0.9550,0.9999,0.7965,0.9999,1.0000,108214,8,556,0,1.4164,0.9572,0.9986,0.7922,0.9986,0.0000
ya_warmup5000000_sim5000000-445.gobmk-2B,1.6429,1.6530,1.0061,0.2521,0.4971,0.1356,0.2523,8,51,6830,20236,1.6479,1.0031,0.2253,0.3442,0.2425,0.2206
ya_warmup5000000_sim5000000-602.gcc_s-2226B,0.7532,0.8045,1.0682,0.7619,0.2616,0.9137,0.5175,66802,6310,23486,21898,0.8179,1.0860,0.7758,0.2474,0.8199,0.4108
ya_warmup5000000_sim5000000-481.wrf-196B,3.3572,3.7227,1.1089,0.9481,0.9258,0.9456,0.9607,13946,803,2832,116,3.7234,1.1091,0.9294,0.9230,0.9312,0.5980
ya_warmup5000000_sim5000000-481.wrf-1281B,1.1156,1.7010,1.5248,0.9471,0.9345,0.9621,0.8670,26395,1039,4470,686,1.7167,1.5388,0.9410,0.9328,0.9428,0.3469
ya_warmup5000000_sim5000000-429.mcf-51B,0.1017,0.1013,0.9959,0.1410,0.2984,0.1869,0.1410,212,922,93884,572125,0.1058,1.0404,0.1719,0.1770,0.1385,0.2221
ya_warmup5000000_sim5000000-437.leslie3d-232B,1.6255,2.6952,1.6581,0.9798,0.8202,0.9291,0.9982,6609,504,19643,36,2.6025,1.6010,0.9187,0.7859,0.8989,0.9807
ya_warmup5000000_sim5000000-482.sphinx3-1395B,1.4413,1.9959,1.3848,0.7588,0.8158,0.9788,0.4773,35781,776,13633,14932,2.0571,1.4273,0.8324,0.8027,0.9351,0.4084
ya_warmup5000000_sim5000000-444.namd-120B,3.4510,3.5123,1.0178,0.8092,0.8960,0.7637,1.0000,1820,563,567,0,3.5149,1.0185,0.5492,0.8915,0.5399,1.0000
ya_warmup5000000_sim5000000-435.gromacs-134B,2.3207,2.3373,1.0071,0.6548,0.8447,0.3960,0.6722,40,61,1009,492,2.3366,1.0069,0.3459,0.8155,0.2468,0.5437
