workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim5000000-482.sphinx3-417B,1.2703,0.5080,0.7198,0.9796,0.3352,19060,396,17800,35308
ya_warmup5000000_sim5000000-456.hmmer-191B,1.0141,0.9641,0.9583,0.8916,0.9852,683,83,2596,39
ya_warmup5000000_sim5000000-458.sjeng-283B,0.9969,0.0356,0.0602,0.0460,0.0354,12,249,384,10476
ya_warmup5000000_sim5000000-444.namd-33B,1.0401,0.8534,0.9106,0.5893,1.0000,287,200,877,0
ya_warmup5000000_sim5000000-444.namd-426B,1.0482,0.7242,0.8329,0.6623,0.7551,504,257,1150,373
ya_warmup5000000_sim5000000-462.libquantum-1343B,1.7075,1.0000,0.8979,1.0000,0.0000,101510,0,0,0
ya_warmup5000000_sim5000000-464.h264ref-97B,0.9993,0.4675,0.5758,0.8708,0.1008,2083,309,265,2365
ya_warmup5000000_sim5000000-602.gcc_s-1850B,2.1679,0.9440,0.8444,0.9577,0.9224,49799,2199,30314,2550
ya_warmup5000000_sim5000000-403.gcc-17B,1.4138,0.3551,0.8655,0.5128,0.3550,40,38,32903,59787
ya_warmup5000000_sim5000000-410.bwaves-945B,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1491B,1.7917,0.9101,0.7422,0.8947,0.9242,42889,5047,48323,3964
ya_warmup5000000_sim5000000-433.milc-337B,1.0950,0.7399,0.5314,0.9959,0.4880,21232,88,10576,11094
ya_warmup5000000_sim5000000-482.sphinx3-1297B,1.3052,0.6269,0.7454,0.9816,0.4111,22303,417,15355,21992
ya_warmup5000000_sim5000000-456.hmmer-327B,1.0133,0.9761,0.9344,0.9088,0.9908,538,54,2694,25
ya_warmup5000000_sim5000000-473.astar-153B,0.9649,0.1818,0.0000,0.4581,0.1773,268,317,6334,29388
ya_warmup5000000_sim5000000-450.soplex-92B,1.4474,0.3969,0.6672,0.8191,0.3901,2260,499,65945,103120
ya_warmup5000000_sim5000000-458.sjeng-767B,0.9962,0.0281,0.0610,0.0806,0.0273,15,171,333,11875
ya_warmup5000000_sim5000000-400.perlbench-50B,0.9987,0.9464,0.6250,0.7857,1.0000,11,3,42,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1169B,1.0198,0.9407,0.8942,0.9543,0.7672,15565,746,979,297
ya_warmup5000000_sim5000000-410.bwaves-1963B,1.6617,0.9999,0.5344,0.9998,1.0000,30042,5,18053,0
ya_warmup5000000_sim5000000-403.gcc-16B,1.0071,0.1364,0.6456,0.3986,0.1300,112,169,1482,9920
ya_warmup5000000_sim5000000-437.leslie3d-134B,1.4557,0.5852,0.8448,0.8540,0.5406,4393,751,16737,14224
ya_warmup5000000_sim5000000-453.povray-576B,1.0031,0.2912,0.7361,0.2776,0.3159,231,601,145,314
ya_warmup5000000_sim5000000-445.gobmk-30B,1.0175,0.1420,0.3530,0.1085,0.1422,14,115,2270,13690
ya_warmup5000000_sim5000000-482.sphinx3-1522B,1.5685,0.6285,0.8062,0.9788,0.4877,20584,446,25525,26813
ya_warmup5000000_sim5000000-483.xalancbmk-736B,1.0020,0.3822,0.0000,0.5738,0.2152,8486,6302,3650,13314
