workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim5000000-437.leslie3d-265B,1.4024,0.9739,0.8290,0.9391,0.9812,3379,219,16879,323
ya_warmup5000000_sim5000000-481.wrf-1254B,1.4436,0.9641,0.8436,0.9685,0.9544,25096,815,11438,547
ya_warmup5000000_sim5000000-481.wrf-816B,2.0761,0.9730,0.9455,0.9753,0.9086,61195,1553,2028,204
ya_warmup5000000_sim5000000-445.gobmk-36B,1.0216,0.1556,0.4263,0.1838,0.1553,25,111,2225,12101
ya_warmup5000000_sim5000000-600.perlbench_s-1273B,1.0002,1.0000,0.4000,1.0000,1.0000,1,0,1,0
ya_warmup5000000_sim5000000-462.libquantum-714B,0.9539,0.9999,0.7893,0.9999,1.0000,107733,8,44,0
ya_warmup5000000_sim5000000-445.gobmk-2B,1.0044,0.2370,0.4314,0.1562,0.2371,5,27,6342,20404
ya_warmup5000000_sim5000000-602.gcc_s-2226B,1.0579,0.7710,0.2416,0.9195,0.5075,63616,5573,19778,19193
ya_warmup5000000_sim5000000-481.wrf-196B,1.0953,0.9495,0.8358,0.9479,0.9568,12305,677,2788,126
ya_warmup5000000_sim5000000-481.wrf-1281B,1.5063,0.9476,0.8994,0.9638,0.8675,25115,943,4591,701
ya_warmup5000000_sim5000000-429.mcf-51B,1.0010,0.1404,0.2909,0.1812,0.1404,127,574,91196,558389
ya_warmup5000000_sim5000000-437.leslie3d-232B,1.6554,0.9839,0.8034,0.9247,0.9979,4565,372,20799,44
ya_warmup5000000_sim5000000-482.sphinx3-1395B,1.3537,0.7589,0.7762,0.9811,0.4687,34894,673,12764,14467
ya_warmup5000000_sim5000000-444.namd-120B,1.0178,0.8258,0.8930,0.7576,1.0000,1094,350,565,0
ya_warmup5000000_sim5000000-435.gromacs-134B,1.0075,0.6662,0.8495,0.3729,0.6779,22,37,1008,479
ya_warmup5000000_sim5000000-473.astar-42B,0.9328,0.0419,0.0000,0.1446,0.0269,7280,43071,9299,335894
ya_warmup5000000_sim5000000-410.bwaves-2097B,1.6525,0.9999,0.5358,0.9999,1.0000,32213,3,16009,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1320B,1.4076,0.3094,0.8395,0.2739,0.3108,413,1095,11379,25230
ya_warmup5000000_sim5000000-471.omnetpp-188B,0.8720,0.2629,0.4507,0.3773,0.2628,83,137,56951,159781
ya_warmup5000000_sim5000000-444.namd-321B,1.0057,0.6458,0.9424,0.6091,0.9799,826,530,146,3
ya_warmup5000000_sim5000000-459.GemsFDTD-765B,1.2266,0.4880,0.5723,0.9910,0.3355,12493,113,13954,27633
ya_warmup5000000_sim5000000-437.leslie3d-149B,1.4817,0.5956,0.8375,0.8800,0.5621,3220,439,17460,13602
ya_warmup5000000_sim5000000-435.gromacs-228B,1.0117,0.7441,0.7684,0.2323,1.0000,92,304,792,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1211B,1.2831,0.5471,0.6344,0.9886,0.4178,11290,130,16301,22711
ya_warmup5000000_sim5000000-429.mcf-184B,1.3675,0.3394,0.5427,0.0000,0.3394,0,0,216376,421187
ya_warmup5000000_sim5000000-436.cactusADM-1804B,1.1804,0.9937,0.5004,0.9482,0.9954,238,13,6747,31
ya_warmup5000000_sim5000000-444.namd-166B,1.0418,0.8454,0.8149,0.6288,1.0000,503,297,1121,0
ya_warmup5000000_sim5000000-482.sphinx3-234B,1.6664,0.6487,0.8546,0.9819,0.5775,13411,247,36953,27033
ya_warmup5000000_sim5000000-600.perlbench_s-210B,0.9997,0.5174,0.5430,0.2174,0.6963,35,126,188,82
ya_warmup5000000_sim5000000-465.tonto-44B,0.9997,0.6186,0.5755,0.7619,0.5789,16,5,44,32
ya_warmup5000000_sim5000000-473.astar-359B,1.0330,0.1065,0.2642,0.2012,0.1039,1312,5209,24262,209239
ya_warmup5000000_sim5000000-483.xalancbmk-716B,1.0572,0.2775,0.5605,0.2967,0.2317,3719,8817,1215,4028
ya_warmup5000000_sim5000000-401.bzip2-226B,1.0022,0.9987,0.7737,0.9987,1.0000,1498,2,13,0
ya_warmup5000000_sim5000000-470.lbm-1274B,0.9088,1.0000,0.7722,1.0000,0.0000,27635,0,0,0
ya_warmup5000000_sim5000000-454.calculix-460B,1.0780,0.8466,0.8715,0.8878,0.8053,13133,1660,11868,2869
ya_warmup5000000_sim5000000-437.leslie3d-271B,1.9390,0.9897,0.9598,0.9917,0.5556,11744,98,30,24
ya_warmup5000000_sim5000000-435.gromacs-111B,1.0082,0.6208,0.8826,0.1750,0.7149,49,231,948,378
ya_warmup5000000_sim5000000-429.mcf-217B,1.6636,0.7943,0.8412,0.9142,0.7794,3727,350,25607,7248
ya_warmup5000000_sim5000000-429.mcf-22B,1.0639,0.5023,0.3650,0.9657,0.4845,2222,79,29107,30968
ya_warmup5000000_sim5000000-453.povray-800B,1.0032,0.4013,0.8085,0.3686,0.6984,422,723,88,38
ya_warmup5000000_sim5000000-465.tonto-1914B,1.0095,0.5037,0.5616,0.8923,0.2773,1558,188,831,2166
ya_warmup5000000_sim5000000-453.povray-887B,1.0014,0.4419,0.8361,0.4262,1.0000,546,735,36,0
ya_warmup5000000_sim5000000-401.bzip2-38B,1.2062,0.8299,0.9650,0.0000,0.8299,0,1,14666,3006
ya_warmup5000000_sim5000000-459.GemsFDTD-1418B,1.6367,0.8946,0.7660,0.8734,0.9009,5135,744,17685,1945
ya_warmup5000000_sim5000000-483.xalancbmk-127B,1.0442,0.2290,0.4743,0.3007,0.2289,135,314,65819,221736
ya_warmup5000000_sim5000000-481.wrf-1170B,1.0134,0.9607,0.5441,0.3947,0.9983,30,46,1142,2
ya_warmup5000000_sim5000000-464.h264ref-64B,1.1384,0.5013,0.8804,0.8003,0.4807,1246,311,10860,11730
ya_warmup5000000_sim5000000-445.gobmk-17B,1.0298,0.2310,0.6235,0.1074,0.2321,13,108,3110,10290
ya_warmup5000000_sim5000000-464.h264ref-30B,0.9977,0.4727,0.4543,0.8618,0.1231,2045,328,325,2316
ya_warmup5000000_sim5000000-433.milc-274B,1.0408,0.5309,0.5596,0.9993,0.3417,17679,13,14968,28838
ya_warmup5000000_sim5000000-403.gcc-48B,1.0393,0.4748,0.7073,0.3284,0.4952,67,137,723,737
ya_warmup5000000_sim5000000-444.namd-44B,1.0137,0.7441,0.6095,0.5780,1.0000,326,238,366,0
ya_warmup5000000_sim5000000-600.perlbench_s-570B,0.9997,0.7087,0.5037,0.2256,0.9490,44,151,372,20
ya_warmup5000000_sim5000000-456.hmmer-88B,1.0062,0.6961,0.4127,0.6304,0.7048,394,231,3305,1384
ya_warmup5000000_sim5000000-435.gromacs-226B,1.0168,0.7190,0.7592,0.2210,1.0000,97,342,778,0
ya_warmup5000000_sim5000000-458.sjeng-31B,0.9974,0.0374,0.0742,0.0811,0.0365,18,204,437,11523
ya_warmup5000000_sim5000000-437.leslie3d-273B,1.3775,0.9790,0.8202,0.9373,0.9879,3349,224,16693,205
ya_warmup5000000_sim5000000-400.perlbench-41B,1.0057,0.1870,0.5415,0.1942,0.1870,54,224,16365,71157
ya_warmup5000000_sim5000000-464.h264ref-57B,1.0086,0.4805,0.6073,0.8301,0.2850,2062,422,1266,3176
ya_warmup5000000_sim5000000-429.mcf-192B,1.3702,0.3657,0.5829,0.0000,0.3657,0,0,245110,425184
ya_warmup5000000_sim5000000-453.povray-252B,1.0070,0.4525,0.6081,0.2456,0.8779,153,470,266,37
ya_warmup5000000_sim5000000-444.namd-23B,1.0175,0.6795,0.8617,0.4664,0.9670,229,262,352,12
ya_warmup5000000_sim5000000-458.sjeng-1088B,1.0007,0.0341,0.0898,0.0792,0.0333,16,186,358,10403
ya_warmup5000000_sim5000000-434.zeusmp-10B,1.1732,0.2665,0.6862,0.1007,0.4968,1875,16750,6665,6750
ya_warmup5000000_sim5000000-433.milc-127B,0.9872,0.4077,0.1787,1.0000,0.0860,20229,0,3202,34039
ya_warmup5000000_sim5000000-447.dealII-3B,1.0027,0.8937,0.8824,0.8908,1.0000,2667,327,81,0
ya_warmup5000000_sim5000000-450.soplex-247B,1.4035,0.5272,0.6306,0.9698,0.4791,16999,529,77397,84137
ya_warmup5000000_sim5000000-401.bzip2-7B,1.0534,0.3619,0.6724,0.6028,0.3554,217,143,4731,8580
ya_warmup5000000_sim5000000-416.gamess-875B,1.0040,0.8458,0.6373,0.2045,0.9809,9,35,205,4
ya_warmup5000000_sim5000000-401.bzip2-277B,0.6588,0.1127,0.1583,0.0000,0.1127,0,0,24531,193117
ya_warmup5000000_sim5000000-482.sphinx3-1100B,1.5786,0.6087,0.8139,0.9831,0.4874,19120,328,29256,30768
ya_warmup5000000_sim5000000-454.calculix-104B,1.0001,1.0000,0.2500,1.0000,1.0000,2,0,1,0
ya_warmup5000000_sim5000000-481.wrf-455B,1.6331,0.9491,0.8538,0.9331,0.9689,15876,1138,13277,426
