workload,ipc_no,ipc_adaptive,speedup_adaptive,accuracy_overall_adaptive,coverage_llc_adaptive,accuracy_l1d_adaptive,accuracy_l2c_adaptive,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless,ipc_default,speedup_default,accuracy_overall_default,coverage_llc_default,accuracy_l1d_default,accuracy_l2c_default
ya_warmup5000000_sim5000000-482.sphinx3-417B,1.2470,1.6374,1.3131,0.5205,0.7619,0.9801,0.3606,18985,385,20070,35589,1.6513,1.3242,0.6417,0.7065,0.8995,0.3043
ya_warmup5000000_sim5000000-456.hmmer-191B,3.4690,3.5130,1.0127,0.9604,0.8750,0.8820,0.9807,613,82,2640,52,3.5174,1.0139,0.8164,0.9167,0.8162,0.8269
ya_warmup5000000_sim5000000-458.sjeng-283B,1.4030,1.3987,0.9969,0.0356,0.0602,0.0460,0.0354,12,249,384,10476,1.4015,0.9989,0.0456,0.0542,0.0723,0.0326
ya_warmup5000000_sim5000000-444.namd-33B,3.5182,3.6590,1.0400,0.8534,0.9106,0.5893,1.0000,287,200,877,0,3.6636,1.0413,0.5159,0.8948,0.4948,1.0000
ya_warmup5000000_sim5000000-444.namd-426B,3.4245,3.5913,1.0487,0.7286,0.8530,0.6675,0.7592,516,257,1173,372,3.5989,1.0509,0.5611,0.8179,0.5480,0.6788
ya_warmup5000000_sim5000000-462.libquantum-1343B,1.2984,2.2169,1.7075,1.0000,0.8979,1.0000,0.0000,101510,0,0,0,2.2169,1.7075,0.9986,0.8979,0.9986,0.0000
ya_warmup5000000_sim5000000-464.h264ref-97B,2.7331,2.7290,0.9985,0.4688,0.5885,0.8697,0.1050,2083,312,277,2362,2.7311,0.9992,0.5866,0.5008,0.7583,0.1441
ya_warmup5000000_sim5000000-602.gcc_s-1850B,0.6115,1.4339,2.3449,0.9429,0.9126,0.9520,0.9311,48956,2466,37288,2759,1.4684,2.4012,0.8365,0.9012,0.8400,0.5697
ya_warmup5000000_sim5000000-403.gcc-17B,0.8978,1.2693,1.4138,0.3551,0.8655,0.5128,0.3550,40,38,32903,59787,1.2380,1.3789,0.3870,0.8179,0.4728,0.3769
ya_warmup5000000_sim5000000-410.bwaves-945B,3.0965,3.0965,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,3.0965,1.0000,0.0000,0.0000,0.0000,0.0000
ya_warmup5000000_sim5000000-459.GemsFDTD-1491B,0.4083,0.8668,2.1228,0.9113,0.8680,0.8916,0.9239,40547,4931,65971,5433,0.7343,1.7982,0.9078,0.7715,0.9100,0.1315
ya_warmup5000000_sim5000000-433.milc-337B,0.7740,0.8678,1.1211,0.7604,0.5992,0.9959,0.5689,21063,86,14806,11219,0.8686,1.1222,0.9740,0.5877,0.9773,0.5338
ya_warmup5000000_sim5000000-482.sphinx3-1297B,1.4568,1.9858,1.3631,0.6462,0.8326,0.9822,0.4623,22460,407,19324,22473,2.0298,1.3933,0.7364,0.7999,0.9224,0.2824
ya_warmup5000000_sim5000000-456.hmmer-327B,3.4709,3.5149,1.0127,0.9800,0.8934,0.9091,0.9949,530,53,2745,14,3.5127,1.0121,0.8192,0.8033,0.8192,0.8182
ya_warmup5000000_sim5000000-473.astar-153B,1.8230,1.7591,0.9649,0.1818,0.0000,0.4581,0.1773,268,317,6334,29388,1.6732,0.9178,0.1639,0.0000,0.2263,0.1401
ya_warmup5000000_sim5000000-450.soplex-92B,0.4195,0.6165,1.4695,0.4024,0.7061,0.8153,0.3958,2291,519,69513,106096,0.5951,1.4185,0.4546,0.6451,0.6336,0.3736
ya_warmup5000000_sim5000000-458.sjeng-767B,1.3616,1.3564,0.9962,0.0281,0.0610,0.0806,0.0273,15,171,333,11875,1.3593,0.9983,0.0352,0.0419,0.0597,0.0209
ya_warmup5000000_sim5000000-400.perlbench-50B,2.5283,2.5250,0.9987,0.9464,0.6250,0.7857,1.0000,11,3,42,0,2.5248,0.9986,0.4194,0.3250,0.4040,1.0000
ya_warmup5000000_sim5000000-459.GemsFDTD-1169B,3.7621,3.8375,1.0200,0.9358,0.8989,0.9545,0.7245,15461,737,1039,395,3.8396,1.0206,0.9247,0.8987,0.9263,0.6574
ya_warmup5000000_sim5000000-410.bwaves-1963B,0.6940,1.5617,2.2503,0.9999,0.7514,0.9998,1.0000,34240,7,33183,0,1.4293,2.0595,0.9801,0.7282,0.9801,1.0000
ya_warmup5000000_sim5000000-403.gcc-16B,2.2925,2.3091,1.0072,0.1367,0.6456,0.3950,0.1304,111,170,1488,9926,2.3039,1.0050,0.1721,0.4810,0.2849,0.1416
ya_warmup5000000_sim5000000-437.leslie3d-134B,2.3991,3.5065,1.4616,0.5847,0.8509,0.8631,0.5385,4522,717,17027,14590,3.4713,1.4469,0.6141,0.8342,0.7550,0.4296
ya_warmup5000000_sim5000000-453.povray-576B,2.4791,2.4868,1.0031,0.2912,0.7361,0.2776,0.3159,231,601,145,314,2.4776,0.9994,0.2588,0.7315,0.2564,0.5826
ya_warmup5000000_sim5000000-445.gobmk-30B,1.3712,1.3950,1.0173,0.1416,0.3521,0.1085,0.1419,14,115,2258,13654,1.3913,1.0147,0.1360,0.3412,0.2131,0.1014
ya_warmup5000000_sim5000000-482.sphinx3-1522B,1.2131,1.9589,1.6148,0.6389,0.8522,0.9779,0.5120,20300,458,28391,27064,1.9440,1.6025,0.6851,0.8082,0.8757,0.4497
ya_warmup5000000_sim5000000-483.xalancbmk-736B,2.5755,2.5802,1.0019,0.3814,0.0000,0.5697,0.2155,8489,6413,3646,13269,2.5965,1.0082,0.6729,0.0000,0.6908,0.3348
ya_warmup5000000_sim5000000-437.leslie3d-265B,2.2002,3.0913,1.4050,0.9734,0.8467,0.9363,0.9807,3293,224,17357,341,3.0080,1.3672,0.8919,0.7900,0.8692,0.9611
ya_warmup5000000_sim5000000-481.wrf-1254B,1.1232,1.8340,1.6328,0.9643,0.9461,0.9656,0.9624,24795,884,16168,631,1.7060,1.5188,0.9240,0.9349,0.9242,0.9122
ya_warmup5000000_sim5000000-481.wrf-816B,1.5340,3.2908,2.1453,0.9732,0.9624,0.9752,0.9325,61072,1553,2845,206,3.2824,2.1398,0.9743,0.9619,0.9767,0.1765
ya_warmup5000000_sim5000000-445.gobmk-36B,1.4408,1.4716,1.0214,0.1555,0.4247,0.1838,0.1552,25,111,2225,12111,1.4635,1.0158,0.1357,0.3253,0.1739,0.1226
ya_warmup5000000_sim5000000-600.perlbench_s-1273B,3.1774,3.1781,1.0002,1.0000,0.4000,1.0000,1.0000,1,0,1,0,3.1781,1.0002,0.7500,0.4000,0.6667,1.0000
ya_warmup5000000_sim5000000-462.libquantum-714B,1.4798,1.4132,0.9550,0.9999,0.7965,0.9999,1.0000,108214,8,556,0,1.4164,0.9572,0.9986,0.7922,0.9986,0.0000
ya_warmup5000000_sim5000000-445.gobmk-2B,1.6429,1.6525,1.0059,0.2489,0.4877,0.1562,0.2490,5,27,6774,20429,1.6479,1.0031,0.2253,0.3442,0.2425,0.2206
