workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim5000000-482.sphinx3-417B,1.2470,1.6374,1.3131,0.5205,0.7619,0.9801,0.3606,18985,385,20070,35589
ya_warmup5000000_sim5000000-456.hmmer-191B,3.4690,3.5130,1.0127,0.9604,0.8750,0.8820,0.9807,613,82,2640,52
ya_warmup5000000_sim5000000-458.sjeng-283B,1.4030,1.3987,0.9969,0.0356,0.0602,0.0460,0.0354,12,249,384,10476
ya_warmup5000000_sim5000000-444.namd-33B,3.5182,3.6590,1.0400,0.8534,0.9106,0.5893,1.0000,287,200,877,0
ya_warmup5000000_sim5000000-444.namd-426B,3.4245,3.5913,1.0487,0.7286,0.8530,0.6675,0.7592,516,257,1173,372
ya_warmup5000000_sim5000000-462.libquantum-1343B,1.2984,2.2169,1.7075,1.0000,0.8979,1.0000,0.0000,101510,0,0,0
ya_warmup5000000_sim5000000-464.h264ref-97B,2.7331,2.7290,0.9985,0.4688,0.5885,0.8697,0.1050,2083,312,277,2362
ya_warmup5000000_sim5000000-602.gcc_s-1850B,0.6115,1.4339,2.3449,0.9429,0.9126,0.9520,0.9311,48956,2466,37288,2759
ya_warmup5000000_sim5000000-403.gcc-17B,0.8978,1.2693,1.4138,0.3551,0.8655,0.5128,0.3550,40,38,32903,59787
ya_warmup5000000_sim5000000-410.bwaves-945B,3.0965,3.0965,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1491B,0.4083,0.8668,2.1228,0.9113,0.8680,0.8916,0.9239,40547,4931,65971,5433
ya_warmup5000000_sim5000000-433.milc-337B,0.7740,0.8678,1.1211,0.7604,0.5992,0.9959,0.5689,21063,86,14806,11219
ya_warmup5000000_sim5000000-482.sphinx3-1297B,1.4568,1.9858,1.3631,0.6462,0.8326,0.9822,0.4623,22460,407,19324,22473
ya_warmup5000000_sim5000000-456.hmmer-327B,3.4709,3.5149,1.0127,0.9800,0.8934,0.9091,0.9949,530,53,2745,14
ya_warmup5000000_sim5000000-473.astar-153B,1.8230,1.7591,0.9649,0.1818,0.0000,0.4581,0.1773,268,317,6334,29388
ya_warmup5000000_sim5000000-450.soplex-92B,0.4195,0.6165,1.4695,0.4024,0.7061,0.8153,0.3958,2291,519,69513,106096
ya_warmup5000000_sim5000000-458.sjeng-767B,1.3616,1.3564,0.9962,0.0281,0.0610,0.0806,0.0273,15,171,333,11875
ya_warmup5000000_sim5000000-400.perlbench-50B,2.5283,2.5250,0.9987,0.9464,0.6250,0.7857,1.0000,11,3,42,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1169B,3.7621,3.8375,1.0200,0.9358,0.8989,0.9545,0.7245,15461,737,1039,395
ya_warmup5000000_sim5000000-410.bwaves-1963B,0.6940,1.5617,2.2503,0.9999,0.7514,0.9998,1.0000,34240,7,33183,0
ya_warmup5000000_sim5000000-403.gcc-16B,2.2925,2.3091,1.0072,0.1367,0.6456,0.3950,0.1304,111,170,1488,9926
ya_warmup5000000_sim5000000-437.leslie3d-134B,2.3991,3.5065,1.4616,0.5847,0.8509,0.8631,0.5385,4522,717,17027,14590
ya_warmup5000000_sim5000000-453.povray-576B,2.4791,2.4868,1.0031,0.2912,0.7361,0.2776,0.3159,231,601,145,314
ya_warmup5000000_sim5000000-445.gobmk-30B,1.3712,1.3950,1.0173,0.1416,0.3521,0.1085,0.1419,14,115,2258,13654
ya_warmup5000000_sim5000000-482.sphinx3-1522B,1.2131,1.9589,1.6148,0.6389,0.8522,0.9779,0.5120,20300,458,28391,27064
ya_warmup5000000_sim5000000-483.xalancbmk-736B,2.5755,2.5802,1.0019,0.3814,0.0000,0.5697,0.2155,8489,6413,3646,13269
ya_warmup5000000_sim5000000-437.leslie3d-265B,2.2002,3.0913,1.4050,0.9734,0.8467,0.9363,0.9807,3293,224,17357,341
ya_warmup5000000_sim5000000-481.wrf-1254B,1.1232,1.8340,1.6328,0.9643,0.9461,0.9656,0.9624,24795,884,16168,631
ya_warmup5000000_sim5000000-481.wrf-816B,1.5340,3.2908,2.1453,0.9732,0.9624,0.9752,0.9325,61072,1553,2845,206
ya_warmup5000000_sim5000000-445.gobmk-36B,1.4408,1.4716,1.0214,0.1555,0.4247,0.1838,0.1552,25,111,2225,12111
ya_warmup5000000_sim5000000-600.perlbench_s-1273B,3.1774,3.1781,1.0002,1.0000,0.4000,1.0000,1.0000,1,0,1,0
ya_warmup5000000_sim5000000-462.libquantum-714B,1.4798,1.4132,0.9550,0.9999,0.7965,0.9999,1.0000,108214,8,556,0
ya_warmup5000000_sim5000000-445.gobmk-2B,1.6429,1.6525,1.0059,0.2489,0.4877,0.1562,0.2490,5,27,6774,20429
