workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim5000000-602.gcc_s-2226B,0.7532,0.8027,1.0658,0.7617,0.2628,0.9176,0.5375,64426,5783,26249,22589
ya_warmup5000000_sim5000000-481.wrf-196B,3.3572,3.7227,1.1089,0.9543,0.9241,0.9487,0.9707,12126,656,4277,129
ya_warmup5000000_sim5000000-481.wrf-1281B,1.1156,1.7014,1.5251,0.9480,0.9347,0.9635,0.8900,24795,940,6108,755
ya_warmup5000000_sim5000000-429.mcf-51B,0.1017,0.1013,0.9961,0.1409,0.2984,0.1694,0.1408,112,549,93990,573323
ya_warmup5000000_sim5000000-437.leslie3d-232B,1.6255,2.7106,1.6675,0.9845,0.8288,0.9265,0.9986,4792,380,21396,31
ya_warmup5000000_sim5000000-482.sphinx3-1395B,1.4413,1.9942,1.3836,0.7588,0.8174,0.9812,0.4980,34649,665,14999,15120
ya_warmup5000000_sim5000000-444.namd-120B,3.4510,3.5123,1.0178,0.8258,0.8930,0.7576,1.0000,1094,350,565,0
ya_warmup5000000_sim5000000-435.gromacs-134B,2.3207,2.3381,1.0075,0.6662,0.8495,0.3729,0.6779,22,37,1008,479
ya_warmup5000000_sim5000000-473.astar-42B,0.5425,0.5058,0.9322,0.0419,0.0000,0.1446,0.0269,7280,43075,9299,336321
ya_warmup5000000_sim5000000-410.bwaves-2097B,0.6946,1.5394,2.2163,0.9998,0.7432,0.9996,1.0000,35465,14,31228,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1320B,1.9051,2.6709,1.4020,0.3075,0.8380,0.2305,0.3106,339,1132,11278,25030
ya_warmup5000000_sim5000000-471.omnetpp-188B,0.4150,0.3606,0.8690,0.2617,0.4508,0.3956,0.2616,89,136,56967,160819
ya_warmup5000000_sim5000000-444.namd-321B,3.5535,3.5736,1.0057,0.6458,0.9424,0.6091,0.9799,826,530,146,3
ya_warmup5000000_sim5000000-459.GemsFDTD-765B,0.9300,1.1403,1.2262,0.4881,0.5766,0.9920,0.3375,12447,100,14164,27804
ya_warmup5000000_sim5000000-437.leslie3d-149B,2.3525,3.5061,1.4904,0.5966,0.8461,0.8580,0.5661,3165,524,17861,13692
ya_warmup5000000_sim5000000-435.gromacs-228B,3.8899,3.9354,1.0117,0.7441,0.7684,0.2323,1.0000,92,304,792,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1211B,1.0403,1.3444,1.2924,0.5476,0.6412,0.9890,0.4204,11247,125,16587,22870
ya_warmup5000000_sim5000000-429.mcf-184B,0.1000,0.1354,1.3533,0.3348,0.5447,0.0000,0.3348,0,0,217809,432751
ya_warmup5000000_sim5000000-436.cactusADM-1804B,1.9157,2.2506,1.1748,0.9954,0.4995,0.9457,0.9975,261,15,6725,17
ya_warmup5000000_sim5000000-444.namd-166B,3.4260,3.5692,1.0418,0.8454,0.8149,0.6288,1.0000,503,297,1121,0
ya_warmup5000000_sim5000000-482.sphinx3-234B,1.0954,1.8330,1.6734,0.6477,0.8568,0.9851,0.5765,13392,203,37095,27255
ya_warmup5000000_sim5000000-600.perlbench_s-210B,3.1553,3.1544,0.9997,0.5196,0.5430,0.2270,0.6963,37,126,188,82
ya_warmup5000000_sim5000000-465.tonto-44B,2.4630,2.4622,0.9997,0.6186,0.5755,0.7619,0.5789,16,5,44,32
ya_warmup5000000_sim5000000-473.astar-359B,0.1571,0.1623,1.0330,0.1107,0.2758,0.2225,0.1077,1440,5032,25274,209483
ya_warmup5000000_sim5000000-483.xalancbmk-716B,2.5160,2.6599,1.0572,0.2777,0.5605,0.2966,0.2324,3719,8819,1221,4033
ya_warmup5000000_sim5000000-401.bzip2-226B,3.3208,3.3282,1.0022,0.9987,0.7762,0.9987,1.0000,1503,2,13,0
ya_warmup5000000_sim5000000-470.lbm-1274B,0.3654,0.3323,0.9093,0.9057,0.7755,0.9055,1.0000,27697,2890,55,0
ya_warmup5000000_sim5000000-454.calculix-460B,3.2050,3.4808,1.0860,0.8472,0.9015,0.8850,0.8118,12751,1657,12449,2887
ya_warmup5000000_sim5000000-437.leslie3d-271B,1.9342,3.7552,1.9415,0.9902,0.9598,0.9923,0.5455,11744,91,30,25
ya_warmup5000000_sim5000000-435.gromacs-111B,2.3914,2.4111,1.0082,0.6208,0.8826,0.1750,0.7149,49,231,948,378
ya_warmup5000000_sim5000000-429.mcf-217B,1.5601,2.6091,1.6724,0.7951,0.8550,0.9024,0.7814,3828,414,25984,7270
ya_warmup5000000_sim5000000-429.mcf-22B,0.7236,0.7592,1.0492,0.4864,0.3752,0.9662,0.4695,2171,76,30021,33916
ya_warmup5000000_sim5000000-453.povray-800B,2.4652,2.4732,1.0032,0.4013,0.8085,0.3686,0.6984,422,723,88,38
ya_warmup5000000_sim5000000-465.tonto-1914B,2.5620,2.5864,1.0095,0.5048,0.5697,0.8923,0.2799,1558,188,842,2166
ya_warmup5000000_sim5000000-453.povray-887B,2.4918,2.4954,1.0014,0.4419,0.8361,0.4262,1.0000,546,735,36,0
ya_warmup5000000_sim5000000-401.bzip2-38B,1.7206,2.0754,1.2062,0.8299,0.9650,0.0000,0.8299,0,1,14666,3006
ya_warmup5000000_sim5000000-459.GemsFDTD-1418B,1.3022,2.1652,1.6628,0.8944,0.7865,0.8738,0.9000,4818,696,18457,2051
ya_warmup5000000_sim5000000-483.xalancbmk-127B,0.5469,0.5713,1.0447,0.2287,0.4749,0.2882,0.2286,132,326,65905,222350
ya_warmup5000000_sim5000000-481.wrf-1170B,3.0005,3.0407,1.0134,0.9607,0.5441,0.3947,0.9983,30,46,1142,2
ya_warmup5000000_sim5000000-464.h264ref-64B,2.4570,2.8011,1.1400,0.4995,0.8958,0.7989,0.4809,1152,290,11170,12056
ya_warmup5000000_sim5000000-445.gobmk-17B,1.4084,1.4508,1.0301,0.2325,0.6293,0.1074,0.2336,13,108,3140,10303
ya_warmup5000000_sim5000000-464.h264ref-30B,2.8339,2.8273,0.9977,0.4752,0.4720,0.8628,0.1285,2037,324,339,2300
ya_warmup5000000_sim5000000-433.milc-274B,1.1056,1.1502,1.0403,0.5305,0.5596,0.9993,0.3415,17673,13,14973,28877
ya_warmup5000000_sim5000000-403.gcc-48B,3.3697,3.5022,1.0393,0.4748,0.7073,0.3284,0.4952,67,137,723,737
ya_warmup5000000_sim5000000-444.namd-44B,3.5860,3.6350,1.0137,0.7441,0.6095,0.5780,1.0000,326,238,366,0
ya_warmup5000000_sim5000000-600.perlbench_s-570B,3.3075,3.3075,1.0000,0.7128,0.5112,0.2147,0.9501,41,150,381,20
ya_warmup5000000_sim5000000-456.hmmer-88B,3.1331,3.1560,1.0073,0.7014,0.4151,0.6199,0.7124,393,241,3347,1351
ya_warmup5000000_sim5000000-435.gromacs-226B,3.8724,3.9374,1.0168,0.7190,0.7592,0.2210,1.0000,97,342,778,0
ya_warmup5000000_sim5000000-458.sjeng-31B,1.3779,1.3743,0.9974,0.0374,0.0742,0.0811,0.0365,18,204,437,11523
ya_warmup5000000_sim5000000-437.leslie3d-273B,2.2601,3.1089,1.3756,0.9768,0.8408,0.9321,0.9856,3228,235,17300,253
ya_warmup5000000_sim5000000-400.perlbench-41B,1.2087,1.2160,1.0060,0.1880,0.5429,0.1942,0.1880,54,224,16419,70908
ya_warmup5000000_sim5000000-464.h264ref-57B,2.7651,2.7931,1.0101,0.4720,0.6045,0.8266,0.2776,2045,429,1253,3261
ya_warmup5000000_sim5000000-429.mcf-192B,0.0911,0.1236,1.3566,0.3637,0.5879,0.0000,0.3637,0,0,247380,432704
ya_warmup5000000_sim5000000-453.povray-252B,2.3457,2.3623,1.0070,0.4525,0.6081,0.2456,0.8779,153,470,266,37
ya_warmup5000000_sim5000000-444.namd-23B,3.5594,3.6216,1.0175,0.6795,0.8617,0.4664,0.9670,229,262,352,12
ya_warmup5000000_sim5000000-458.sjeng-1088B,1.3455,1.3465,1.0007,0.0341,0.0898,0.0792,0.0333,16,186,358,10403
ya_warmup5000000_sim5000000-434.zeusmp-10B,2.7236,3.1951,1.1731,0.2731,0.6999,0.1116,0.5023,2174,17304,6891,6827
ya_warmup5000000_sim5000000-433.milc-127B,0.5645,0.5561,0.9850,0.4235,0.1961,1.0000,0.1354,20231,0,5478,34992
ya_warmup5000000_sim5000000-447.dealII-3B,2.8341,2.8419,1.0027,0.8937,0.8824,0.8908,1.0000,2667,327,81,0
ya_warmup5000000_sim5000000-450.soplex-247B,0.4049,0.5820,1.4375,0.5341,0.6826,0.9735,0.4869,17794,484,82839,87293
ya_warmup5000000_sim5000000-401.bzip2-7B,2.0466,2.1547,1.0528,0.3644,0.6745,0.6261,0.3580,206,123,4780,8572
ya_warmup5000000_sim5000000-416.gamess-875B,2.8231,2.8343,1.0040,0.8458,0.6373,0.2045,0.9809,9,35,205,4
ya_warmup5000000_sim5000000-401.bzip2-277B,2.0844,1.3647,0.6547,0.1114,0.1683,0.2500,0.1114,5,15,24897,198563
ya_warmup5000000_sim5000000-482.sphinx3-1100B,1.1527,1.8581,1.6119,0.6109,0.8397,0.9844,0.4941,19172,303,30755,31492
ya_warmup5000000_sim5000000-454.calculix-104B,1.9375,1.9377,1.0001,1.0000,0.2500,1.0000,1.0000,2,0,1,0
ya_warmup5000000_sim5000000-481.wrf-455B,1.7980,2.9355,1.6327,0.9470,0.8634,0.9277,0.9684,14968,1166,14042,458
