workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim5000000-429.mcf-184B,1.0302,0.1325,0.0365,0.0000,0.1325,0,0,28175,184496
ya_warmup5000000_sim5000000-436.cactusADM-1804B,1.1866,0.9938,0.5498,0.9371,0.9981,521,35,7280,14
ya_warmup5000000_sim5000000-444.namd-166B,1.0417,0.8370,0.8096,0.6074,1.0000,475,307,1102,0
ya_warmup5000000_sim5000000-482.sphinx3-234B,1.4603,0.7363,0.6551,0.9831,0.6496,13382,230,25182,13583
ya_warmup5000000_sim5000000-600.perlbench_s-210B,1.0001,0.5284,0.4113,0.2537,0.9116,52,153,134,13
ya_warmup5000000_sim5000000-465.tonto-44B,0.9995,0.5625,0.5094,0.6818,0.5270,15,7,39,35
ya_warmup5000000_sim5000000-473.astar-359B,1.0537,0.3081,0.2406,0.2046,0.3172,1292,5022,22899,49296
ya_warmup5000000_sim5000000-483.xalancbmk-716B,1.0335,0.3047,0.3464,0.2937,0.3763,3750,9019,738,1223
ya_warmup5000000_sim5000000-401.bzip2-226B,1.0022,0.9987,0.7675,0.9987,0.0000,1499,2,0,0
ya_warmup5000000_sim5000000-470.lbm-1274B,0.9101,0.9989,0.7707,1.0000,0.6477,27523,0,57,31
ya_warmup5000000_sim5000000-454.calculix-460B,1.0845,0.8665,0.8904,0.8790,0.8533,13135,1808,12030,2069
ya_warmup5000000_sim5000000-437.leslie3d-271B,1.9419,0.9917,0.9598,0.9917,1.0000,11744,98,30,0
ya_warmup5000000_sim5000000-435.gromacs-111B,1.0055,0.3871,0.7045,0.1684,0.5708,63,311,254,191
ya_warmup5000000_sim5000000-429.mcf-217B,1.5926,0.8512,0.8204,0.9077,0.8438,3559,362,25016,4632
ya_warmup5000000_sim5000000-429.mcf-22B,1.0558,0.5808,0.2426,0.9656,0.5530,2330,83,18440,14906
ya_warmup5000000_sim5000000-453.povray-800B,1.0035,0.3898,0.7589,0.3538,1.0000,432,789,72,0
ya_warmup5000000_sim5000000-465.tonto-1914B,1.0077,0.6060,0.4570,0.8833,0.3371,1514,200,596,1172
ya_warmup5000000_sim5000000-453.povray-887B,1.0016,0.3858,0.8033,0.3745,0.9394,606,1012,31,2
ya_warmup5000000_sim5000000-401.bzip2-38B,1.1104,0.8722,0.5733,0.0000,0.8731,0,8,6525,948
ya_warmup5000000_sim5000000-459.GemsFDTD-1418B,1.7523,0.9232,0.8147,0.8728,0.9367,4805,700,19245,1300
ya_warmup5000000_sim5000000-483.xalancbmk-127B,1.1274,0.3072,0.3475,0.3183,0.3072,148,317,48170,108629
ya_warmup5000000_sim5000000-481.wrf-1170B,1.0129,0.9008,0.4225,0.2281,0.9886,26,88,864,10
ya_warmup5000000_sim5000000-464.h264ref-64B,1.1173,0.6860,0.8108,0.7842,0.6747,1214,334,9144,4408
ya_warmup5000000_sim5000000-445.gobmk-17B,1.0157,0.2050,0.4032,0.1069,0.2064,14,117,1874,7205
ya_warmup5000000_sim5000000-464.h264ref-30B,0.9990,0.5300,0.3943,0.8641,0.1311,2015,317,256,1697
ya_warmup5000000_sim5000000-433.milc-274B,1.0950,0.9324,0.4701,0.9986,0.2551,26741,37,668,1951
ya_warmup5000000_sim5000000-403.gcc-48B,1.0308,0.5217,0.6081,0.2890,0.5802,76,187,608,440
ya_warmup5000000_sim5000000-444.namd-44B,1.0092,0.7275,0.3429,0.6401,1.0000,345,194,173,0
ya_warmup5000000_sim5000000-600.perlbench_s-570B,0.9990,0.6111,0.3085,0.2333,1.0000,49,161,204,0
ya_warmup5000000_sim5000000-456.hmmer-88B,1.0091,0.7426,0.3998,0.6228,0.7610,416,252,3309,1039
ya_warmup5000000_sim5000000-435.gromacs-226B,1.0133,0.5971,0.3975,0.2217,1.0000,94,330,395,0
ya_warmup5000000_sim5000000-458.sjeng-31B,1.0015,0.0399,0.0671,0.0949,0.0377,24,229,232,5924
ya_warmup5000000_sim5000000-437.leslie3d-273B,1.3219,0.9819,0.7822,0.9385,0.9915,3314,217,15792,136
ya_warmup5000000_sim5000000-400.perlbench-41B,0.9846,0.2008,0.2517,0.1982,0.2008,65,263,6702,26673
ya_warmup5000000_sim5000000-464.h264ref-57B,1.0080,0.5456,0.5180,0.8261,0.3140,2105,443,969,2117
ya_warmup5000000_sim5000000-429.mcf-192B,1.0604,0.1765,0.0639,0.0000,0.1765,0,0,13454,62783
ya_warmup5000000_sim5000000-453.povray-252B,1.0063,0.4226,0.4788,0.2546,0.9896,165,483,190,2
ya_warmup5000000_sim5000000-444.namd-23B,1.0163,0.7067,0.7976,0.5110,0.9874,233,223,314,4
ya_warmup5000000_sim5000000-458.sjeng-1088B,1.0020,0.0418,0.0631,0.0814,0.0405,18,203,274,6492
ya_warmup5000000_sim5000000-434.zeusmp-10B,1.1844,0.2454,0.6449,0.0983,0.4837,1862,17081,5654,6035
ya_warmup5000000_sim5000000-433.milc-127B,0.9667,0.9989,0.1937,1.0000,0.9966,17431,0,7966,27
ya_warmup5000000_sim5000000-447.dealII-3B,1.0025,0.9032,0.8487,0.9009,1.0000,2835,312,77,0
ya_warmup5000000_sim5000000-450.soplex-247B,1.2714,0.7585,0.4801,0.9645,0.7025,17478,644,46817,19822
ya_warmup5000000_sim5000000-401.bzip2-7B,1.0207,0.3978,0.3447,0.5581,0.3875,173,137,1867,2951
ya_warmup5000000_sim5000000-416.gamess-875B,1.0037,0.7773,0.4881,0.2459,0.9933,15,46,149,1
ya_warmup5000000_sim5000000-401.bzip2-277B,0.9706,0.1776,0.0000,0.0244,0.1780,1,40,3158,14585
ya_warmup5000000_sim5000000-482.sphinx3-1100B,1.4770,0.7539,0.6586,0.9819,0.6211,18693,344,20311,12390
ya_warmup5000000_sim5000000-454.calculix-104B,1.0001,1.0000,0.2500,1.0000,1.0000,2,0,1,0
ya_warmup5000000_sim5000000-481.wrf-455B,1.6428,0.9527,0.8843,0.9289,0.9807,16039,1227,14328,282
