workload,ipc_no,ipc_adaptive,speedup_adaptive,accuracy_overall_adaptive,coverage_llc_adaptive,accuracy_l1d_adaptive,accuracy_l2c_adaptive,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless,ipc_default,speedup_default,accuracy_overall_default,coverage_llc_default,accuracy_l1d_default,accuracy_l2c_default
ya_warmup5000000_sim20000000-445.gobmk-36B,1.4600,1.4579,0.9986,0.1778,0.3609,0.2678,0.1776,64,175,17333,80280,1.4561,0.9973,0.1644,0.3034,0.2210,0.1515
ya_warmup5000000_sim20000000-600.perlbench_s-1273B,3.2901,3.2924,1.0007,0.7042,0.5009,0.2000,0.9619,51,204,480,19,3.2898,0.9999,0.3510,0.3658,0.2264,0.9860
ya_warmup5000000_sim20000000-462.libquantum-714B,0.6098,0.5579,0.9148,0.9998,0.7212,0.9998,0.9982,464708,74,556,1,0.5507,0.9030,0.9975,0.7200,0.9975,0.0000
ya_warmup5000000_sim20000000-445.gobmk-2B,1.6305,1.6254,0.9969,0.2051,0.3874,0.1356,0.2051,8,51,22775,88274,1.6277,0.9983,0.1869,0.3035,0.1935,0.1852
ya_warmup5000000_sim20000000-602.gcc_s-2226B,0.7559,0.8155,1.0790,0.7830,0.2600,0.9161,0.5798,256755,23502,106435,77141,0.8260,1.0927,0.8023,0.2456,0.8371,0.5004
ya_warmup5000000_sim20000000-481.wrf-196B,2.3471,3.6360,1.5492,0.9459,0.9199,0.9466,0.9440,51504,2906,20151,1195,3.6292,1.5463,0.9240,0.9208,0.9259,0.7949
ya_warmup5000000_sim20000000-481.wrf-1281B,1.0773,1.3914,1.2915,0.9599,0.9160,0.9670,0.9367,138331,4726,41006,2771,1.3449,1.2484,0.9428,0.9016,0.9444,0.7380
ya_warmup5000000_sim20000000-429.mcf-51B,0.1183,0.1217,1.0290,0.1577,0.3147,0.2026,0.1577,301,1185,353844,1890309,0.1248,1.0549,0.1698,0.1804,0.1194,0.2459
ya_warmup5000000_sim20000000-437.leslie3d-232B,1.6695,2.8081,1.6821,0.9840,0.8455,0.9775,0.9875,41546,957,77005,971,2.6665,1.5972,0.9337,0.8031,0.9263,0.9685
ya_warmup5000000_sim20000000-482.sphinx3-1395B,1.3727,1.8865,1.3742,0.6850,0.8157,0.9804,0.4569,117011,2342,70621,83932,1.9363,1.4105,0.7777,0.7899,0.9341,0.3401
ya_warmup5000000_sim20000000-444.namd-120B,3.4257,3.5576,1.0385,0.8043,0.9053,0.7517,0.8316,2001,661,4271,865,3.5609,1.0395,0.5173,0.8869,0.4986,0.7916
ya_warmup5000000_sim20000000-435.gromacs-134B,2.3873,2.4064,1.0080,0.7296,0.7600,0.3960,0.7333,40,61,6734,2449,2.4043,1.0071,0.4324,0.7036,0.2680,0.6340
ya_warmup5000000_sim20000000-473.astar-42B,0.5324,0.3894,0.7313,0.0325,0.0000,0.1247,0.0210,24765,173825,33229,1551215,0.4514,0.8479,0.0634,0.0000,0.0822,0.0354
ya_warmup5000000_sim20000000-410.bwaves-2097B,0.6988,1.5512,2.2197,0.9999,0.7424,0.9997,1.0000,140403,38,126196,0,1.4220,2.0349,0.9830,0.7157,0.9830,1.0000
