workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim5000000-482.sphinx3-417B,1.3107,0.5188,0.7652,0.9792,0.3672,18240,388,20767,35793
ya_warmup5000000_sim5000000-456.hmmer-191B,1.0132,0.9595,0.8833,0.8734,0.9818,607,88,2636,49
ya_warmup5000000_sim5000000-458.sjeng-283B,0.9969,0.0356,0.0602,0.0460,0.0354,12,249,384,10476
ya_warmup5000000_sim5000000-444.namd-33B,1.0401,0.8534,0.9106,0.5893,1.0000,287,200,877,0
ya_warmup5000000_sim5000000-444.namd-426B,1.0488,0.7283,0.8530,0.6675,0.7587,516,257,1173,373
ya_warmup5000000_sim5000000-462.libquantum-1343B,1.7075,1.0000,0.8979,1.0000,0.0000,101510,0,0,0
ya_warmup5000000_sim5000000-464.h264ref-97B,0.9987,0.4699,0.5805,0.8716,0.1032,2090,308,271,2355
ya_warmup5000000_sim5000000-602.gcc_s-1850B,2.3442,0.9425,0.9120,0.9487,0.9346,48627,2630,37572,2628
ya_warmup5000000_sim5000000-403.gcc-17B,1.4138,0.3551,0.8655,0.5128,0.3550,40,38,32903,59787
ya_warmup5000000_sim5000000-410.bwaves-945B,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1491B,2.0863,0.9117,0.8723,0.8904,0.9253,40706,5009,66336,5354
ya_warmup5000000_sim5000000-433.milc-337B,1.1147,0.7606,0.6002,0.9958,0.5692,21106,88,14820,11218
ya_warmup5000000_sim5000000-482.sphinx3-1297B,1.3687,0.6481,0.8378,0.9819,0.4626,22877,422,19396,22532
ya_warmup5000000_sim5000000-456.hmmer-327B,1.0124,0.9773,0.8934,0.8949,0.9949,528,62,2738,14
ya_warmup5000000_sim5000000-473.astar-153B,0.9649,0.1818,0.0000,0.4581,0.1773,268,317,6334,29388
ya_warmup5000000_sim5000000-450.soplex-92B,1.4674,0.4015,0.7021,0.8017,0.3955,2115,523,69259,105871
ya_warmup5000000_sim5000000-458.sjeng-767B,0.9962,0.0281,0.0610,0.0806,0.0273,15,171,333,11875
ya_warmup5000000_sim5000000-400.perlbench-50B,0.9987,0.9464,0.6250,0.7857,1.0000,11,3,42,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1169B,1.0201,0.9368,0.8988,0.9543,0.7352,15562,745,1044,376
ya_warmup5000000_sim5000000-410.bwaves-1963B,2.1664,0.9999,0.7564,0.9998,1.0000,31453,7,36473,0
ya_warmup5000000_sim5000000-403.gcc-16B,1.0071,0.1366,0.6456,0.3986,0.1301,112,169,1483,9916
ya_warmup5000000_sim5000000-437.leslie3d-134B,1.4574,0.5908,0.8482,0.8493,0.5486,4329,768,17110,14079
ya_warmup5000000_sim5000000-453.povray-576B,1.0031,0.2912,0.7361,0.2776,0.3159,231,601,145,314
