workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Coverage,pmp_L2C_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
482.sphinx3-417B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
456.hmmer-191B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
458.sjeng-283B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
444.namd-33B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
444.namd-426B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
462.libquantum-1343B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
464.h264ref-97B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
602.gcc_s-1850B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
403.gcc-17B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
410.bwaves-945B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
459.GemsFDTD-1491B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
433.milc-337B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
482.sphinx3-1297B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
456.hmmer-327B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
473.astar-153B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
450.soplex-92B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
458.sjeng-767B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
400.perlbench-50B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
459.GemsFDTD-1169B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
410.bwaves-1963B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
403.gcc-16B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
437.leslie3d-134B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
453.povray-576B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
445.gobmk-30B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
482.sphinx3-1522B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
483.xalancbmk-736B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
437.leslie3d-265B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
481.wrf-1254B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
481.wrf-816B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
445.gobmk-36B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
600.perlbench_s-1273B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
462.libquantum-714B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
445.gobmk-2B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
602.gcc_s-2226B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
481.wrf-196B,0,0,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0,0,0,0
