workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Coverage,pmp_L2C_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim5000000-482.sphinx3-417B,1.2470,1.6412,1.3161,0.5217,0.7671,0.6191,0.7040,0.9809,0.3608,19185,373,20137,35680
ya_warmup5000000_sim5000000-456.hmmer-191B,3.4690,3.5168,1.0138,0.9676,0.9417,0.0455,0.6857,0.8472,0.9888,427,77,2833,32
ya_warmup5000000_sim5000000-458.sjeng-283B,1.4030,1.3990,0.9971,0.0344,0.0607,0.0153,0.0000,0.0339,0.0344,8,228,374,10502
ya_warmup5000000_sim5000000-444.namd-33B,3.5182,3.6587,1.0399,0.8840,0.9106,0.0000,0.9013,0.6000,1.0000,216,144,881,0
ya_warmup5000000_sim5000000-444.namd-426B,3.4245,3.5844,1.0467,0.7453,0.8484,0.0673,0.8254,0.6067,0.7812,273,177,1357,380
ya_warmup5000000_sim5000000-462.libquantum-1343B,1.2984,2.2171,1.7076,1.0000,0.8979,0.4214,0.8979,1.0000,0.0000,101510,0,0,0
ya_warmup5000000_sim5000000-464.h264ref-97B,2.7331,2.7296,0.9987,0.4630,0.5901,0.2664,0.5780,0.8796,0.1109,1950,267,291,2332
ya_warmup5000000_sim5000000-602.gcc_s-1850B,0.6115,1.4313,2.3407,0.9438,0.9137,0.4548,0.8861,0.9519,0.9345,46365,2344,39764,2786
ya_warmup5000000_sim5000000-403.gcc-17B,0.8978,1.2693,1.4138,0.3558,0.8648,0.1746,0.8489,0.4464,0.3558,25,31,32896,59567
ya_warmup5000000_sim5000000-410.bwaves-945B,3.0965,3.0965,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1491B,0.4083,0.8844,2.1659,0.9121,0.8811,0.7200,0.8516,0.8896,0.9257,39707,4929,68404,5494
ya_warmup5000000_sim5000000-433.milc-337B,0.7740,0.8638,1.1160,0.7543,0.5897,0.5310,0.5897,0.9917,0.0860,34249,285,1055,11217
ya_warmup5000000_sim5000000-482.sphinx3-1297B,1.4568,1.9906,1.3664,0.6478,0.8394,0.6868,0.7878,0.9819,0.4730,21961,405,20234,22540
ya_warmup5000000_sim5000000-456.hmmer-327B,3.4709,3.5170,1.0133,0.9798,0.9426,0.0309,0.7764,0.9005,0.9910,371,41,2875,26
ya_warmup5000000_sim5000000-473.astar-153B,1.8230,1.7615,0.9662,0.1842,0.0006,0.1727,0.4358,0.5098,0.1800,233,224,6373,29042
ya_warmup5000000_sim5000000-450.soplex-92B,0.4195,0.6181,1.4734,0.4017,0.7128,0.1934,0.5506,0.8485,0.3952,2184,390,70136,107339
ya_warmup5000000_sim5000000-458.sjeng-767B,1.3616,1.3567,0.9964,0.0279,0.0615,0.0399,0.0028,0.0793,0.0272,13,151,333,11899
ya_warmup5000000_sim5000000-400.perlbench-50B,2.5283,2.5250,0.9987,0.9464,0.6250,0.1192,0.5875,0.7857,1.0000,11,3,42,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1169B,3.7621,3.8372,1.0200,0.9365,0.8990,0.5397,0.8776,0.9517,0.8980,12044,611,4507,512
ya_warmup5000000_sim5000000-410.bwaves-1963B,0.6940,1.5821,2.2796,0.9998,0.7684,0.5344,0.7608,0.9996,1.0000,33131,13,35821,0
ya_warmup5000000_sim5000000-403.gcc-16B,2.2925,2.3094,1.0074,0.1387,0.6401,0.0780,0.3891,0.4331,0.1354,55,72,1516,9682
ya_warmup5000000_sim5000000-437.leslie3d-134B,2.3991,3.5120,1.4639,0.5816,0.8520,0.3106,0.5071,0.8642,0.5460,3488,548,17541,14583
ya_warmup5000000_sim5000000-453.povray-576B,2.4791,2.4870,1.0032,0.2900,0.7407,0.0000,0.1944,0.2645,0.3191,141,392,149,318
ya_warmup5000000_sim5000000-445.gobmk-30B,1.3712,1.3945,1.0170,0.1422,0.3530,0.0102,0.0000,0.0833,0.1425,8,88,2284,13742
ya_warmup5000000_sim5000000-482.sphinx3-1522B,1.2131,1.9658,1.6204,0.6395,0.8571,0.6525,0.7954,0.9791,0.5118,20484,437,28462,27152
ya_warmup5000000_sim5000000-483.xalancbmk-736B,2.5755,2.5791,1.0014,0.3236,0.0000,0.0331,0.0000,0.4861,0.2171,5383,5690,3667,13223
ya_warmup5000000_sim5000000-437.leslie3d-265B,2.2002,3.1127,1.4147,0.9747,0.8466,0.5266,0.8043,0.9398,0.9801,2637,169,17878,363
ya_warmup5000000_sim5000000-481.wrf-1254B,1.1232,1.8520,1.6488,0.9636,0.9493,0.7915,0.9419,0.9646,0.9622,24183,888,16920,665
ya_warmup5000000_sim5000000-481.wrf-816B,1.5340,3.2941,2.1474,0.9732,0.9628,0.9345,0.9627,0.9751,0.9376,60824,1553,3093,206
ya_warmup5000000_sim5000000-445.gobmk-36B,1.4408,1.4715,1.0213,0.1558,0.4259,0.1271,0.0285,0.1294,0.1560,11,74,2247,12157
ya_warmup5000000_sim5000000-600.perlbench_s-1273B,3.1774,3.1781,1.0002,1.0000,0.4000,0.8000,0.4000,1.0000,1.0000,1,0,1,0
ya_warmup5000000_sim5000000-462.libquantum-714B,1.4798,1.4813,1.0011,0.9999,0.7945,0.0244,0.7905,0.9999,1.0000,107947,8,557,0
ya_warmup5000000_sim5000000-445.gobmk-2B,1.6429,1.6542,1.0069,0.2590,0.5414,0.0063,0.0000,0.1111,0.2591,3,24,7054,20169
ya_warmup5000000_sim5000000-602.gcc_s-2226B,0.7532,0.8083,1.0733,0.7586,0.2706,0.0506,0.2181,0.9094,0.5431,65772,6553,27485,23119
ya_warmup5000000_sim5000000-481.wrf-196B,3.3572,3.7230,1.1090,0.9558,0.9234,0.8599,0.9175,0.9507,0.9669,11056,573,5135,176
ya_warmup5000000_sim5000000-481.wrf-1281B,1.1156,1.6981,1.5222,0.9470,0.9383,0.8115,0.9309,0.9635,0.8890,24561,930,6473,808
ya_warmup5000000_sim5000000-429.mcf-51B,0.1017,0.1011,0.9935,0.1420,0.3065,0.0216,0.1627,0.1511,0.1420,63,354,96749,584612
ya_warmup5000000_sim5000000-437.leslie3d-232B,1.6255,2.7115,1.6681,0.9889,0.8327,0.5069,0.7815,0.9323,0.9985,3568,259,22591,34
ya_warmup5000000_sim5000000-482.sphinx3-1395B,1.4413,2.0066,1.3922,0.7596,0.8230,0.7291,0.8148,0.9810,0.5050,34528,668,15454,15147
ya_warmup5000000_sim5000000-444.namd-120B,3.4510,3.5107,1.0173,0.8392,0.8960,0.0179,0.8737,0.7333,1.0000,635,231,571,0
ya_warmup5000000_sim5000000-435.gromacs-134B,2.3207,2.3380,1.0075,0.6810,0.8350,0.0126,0.0000,0.2308,0.6892,6,20,989,446
ya_warmup5000000_sim5000000-473.astar-42B,0.5425,0.5080,0.9364,0.0418,0.0000,0.0292,0.0000,0.1449,0.0270,7206,42517,9314,336128
ya_warmup5000000_sim5000000-410.bwaves-2097B,0.6946,1.5543,2.2378,0.9999,0.7574,0.5375,0.7490,0.9997,1.0000,34317,9,33660,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1320B,1.9051,2.6820,1.4078,0.3182,0.8401,0.0066,0.5705,0.2441,0.3207,302,935,11531,24424
ya_warmup5000000_sim5000000-471.omnetpp-188B,0.4150,0.3606,0.8690,0.2617,0.4520,0.1013,0.3209,0.3450,0.2617,59,112,57142,161220
ya_warmup5000000_sim5000000-444.namd-321B,3.5535,3.5738,1.0057,0.6441,0.9424,0.0000,0.9424,0.5930,0.9797,577,396,145,3
ya_warmup5000000_sim5000000-459.GemsFDTD-765B,0.9300,1.1470,1.2334,0.4887,0.5779,0.3851,0.4990,0.9935,0.3380,12445,81,14184,27782
ya_warmup5000000_sim5000000-437.leslie3d-149B,2.3525,3.5088,1.4915,0.5949,0.8486,0.3115,0.5107,0.8484,0.5734,2295,410,18333,13638
ya_warmup5000000_sim5000000-435.gromacs-228B,3.8899,3.9349,1.0116,0.8130,0.7674,0.0011,0.7647,0.2355,1.0000,61,198,800,0
ya_warmup5000000_sim5000000-459.GemsFDTD-1211B,1.0403,1.3466,1.2944,0.5504,0.6415,0.3682,0.5808,0.9892,0.4228,11282,123,16580,22634
ya_warmup5000000_sim5000000-429.mcf-184B,0.1000,0.1351,1.3509,0.3333,0.5481,0.0058,0.3040,0.0000,0.3333,0,10,218092,436184
ya_warmup5000000_sim5000000-436.cactusADM-1804B,1.9157,2.2538,1.1765,0.9953,0.5034,0.0617,0.5009,0.9371,0.9968,164,11,6831,22
ya_warmup5000000_sim5000000-444.namd-166B,3.4260,3.5683,1.0415,0.8767,0.8096,0.0221,0.8063,0.6040,1.0000,305,200,1117,0
ya_warmup5000000_sim5000000-482.sphinx3-234B,1.0954,1.8398,1.6796,0.6481,0.8589,0.5530,0.7863,0.9806,0.5812,12826,254,37808,27243
ya_warmup5000000_sim5000000-600.perlbench_s-210B,3.1553,3.1531,0.9993,0.5391,0.5242,0.0000,0.4462,0.1468,0.6945,16,93,191,84
ya_warmup5000000_sim5000000-465.tonto-44B,2.4630,2.4622,0.9997,0.6186,0.5755,0.3182,0.5472,0.7619,0.5789,16,5,44,32
ya_warmup5000000_sim5000000-473.astar-359B,0.1571,0.1625,1.0345,0.1153,0.2863,0.0306,0.2168,0.2700,0.1113,1646,4450,26207,209174
ya_warmup5000000_sim5000000-483.xalancbmk-716B,2.5160,2.6633,1.0586,0.2089,0.5619,0.0000,0.5492,0.1942,0.2369,1968,8166,1261,4061
ya_warmup5000000_sim5000000-401.bzip2-226B,3.3208,3.3281,1.0022,0.9987,0.7711,0.0925,0.7645,0.9987,1.0000,1493,2,13,0
ya_warmup5000000_sim5000000-470.lbm-1274B,0.3654,0.3318,0.9080,0.9979,0.7938,0.6291,0.7938,1.0000,0.0000,28406,0,0,61
ya_warmup5000000_sim5000000-454.calculix-460B,3.2050,3.4800,1.0858,0.8516,0.9014,0.4182,0.8395,0.9047,0.8173,9290,979,12967,2899
ya_warmup5000000_sim5000000-437.leslie3d-271B,1.9342,3.7513,1.9395,0.9897,0.9598,0.9561,0.9598,0.9917,0.5455,11744,98,30,25
ya_warmup5000000_sim5000000-435.gromacs-111B,2.3914,2.4103,1.0079,0.6444,0.8866,0.0083,0.1874,0.1576,0.7182,32,171,961,377
ya_warmup5000000_sim5000000-429.mcf-217B,1.5601,2.6095,1.6727,0.7957,0.8555,0.0937,0.8280,0.9269,0.7818,3321,262,26516,7401
ya_warmup5000000_sim5000000-429.mcf-22B,0.7236,0.7474,1.0328,0.4647,0.3777,0.0191,0.3662,0.9660,0.4493,2020,71,30398,37265
ya_warmup5000000_sim5000000-453.povray-800B,2.4652,2.4734,1.0033,0.4151,0.8014,0.0000,0.6525,0.3718,0.7458,335,566,88,30
ya_warmup5000000_sim5000000-465.tonto-1914B,2.5620,2.5871,1.0098,0.4988,0.5757,0.1655,0.2310,0.9241,0.2856,1388,114,856,2141
ya_warmup5000000_sim5000000-453.povray-887B,2.4918,2.4956,1.0015,0.4126,0.8197,0.0000,0.8033,0.3909,0.9714,353,550,34,1
ya_warmup5000000_sim5000000-401.bzip2-38B,1.7206,2.0754,1.2062,0.8343,0.9650,0.2030,0.8098,0.0000,0.8343,0,1,14881,2955
ya_warmup5000000_sim5000000-459.GemsFDTD-1418B,1.3022,2.1635,1.6614,0.8923,0.7846,0.5115,0.7785,0.8624,0.8987,3936,628,19190,2163
ya_warmup5000000_sim5000000-483.xalancbmk-127B,0.5469,0.5693,1.0410,0.2285,0.4746,0.0534,0.3978,0.2444,0.2285,66,204,65932,222640
ya_warmup5000000_sim5000000-481.wrf-1170B,3.0005,3.0429,1.0141,0.9692,0.5437,0.0301,0.5432,0.2941,0.9991,15,36,1150,1
ya_warmup5000000_sim5000000-464.h264ref-64B,2.4570,2.8020,1.1404,0.4985,0.8958,0.4976,0.7752,0.7573,0.4904,568,182,11735,12194
ya_warmup5000000_sim5000000-445.gobmk-17B,1.4084,1.4520,1.0309,0.2354,0.6367,0.0244,0.3640,0.1413,0.2361,13,79,3183,10301
ya_warmup5000000_sim5000000-464.h264ref-30B,2.8339,2.8275,0.9977,0.4041,0.4843,0.2010,0.4688,0.8389,0.1414,1333,256,372,2258
ya_warmup5000000_sim5000000-433.milc-274B,1.1056,1.1522,1.0422,0.5297,0.5596,0.3458,0.5551,0.9988,0.1910,25809,30,6834,28949
ya_warmup5000000_sim5000000-403.gcc-48B,3.3697,3.5036,1.0397,0.4793,0.7122,0.1629,0.6807,0.2188,0.5020,28,100,736,730
ya_warmup5000000_sim5000000-444.namd-44B,3.5860,3.6330,1.0131,0.7660,0.6124,0.0000,0.5850,0.5849,1.0000,279,198,369,0
ya_warmup5000000_sim5000000-600.perlbench_s-570B,3.3075,3.3063,0.9996,0.7482,0.5012,0.1445,0.4602,0.1724,0.9553,25,120,385,18
ya_warmup5000000_sim5000000-456.hmmer-88B,3.1331,3.1539,1.0066,0.7159,0.4103,0.1925,0.3729,0.7075,0.7166,300,124,3467,1371
ya_warmup5000000_sim5000000-435.gromacs-226B,3.8724,3.9367,1.0166,0.8073,0.7611,0.0002,0.7602,0.2109,1.0000,54,202,792,0
ya_warmup5000000_sim5000000-458.sjeng-31B,1.3779,1.3743,0.9974,0.0371,0.0747,0.0393,0.0000,0.0749,0.0365,14,173,435,11477
ya_warmup5000000_sim5000000-437.leslie3d-273B,2.2601,3.1123,1.3770,0.9792,0.8433,0.5267,0.7985,0.9340,0.9865,2705,191,17708,243
ya_warmup5000000_sim5000000-400.perlbench-41B,1.2087,1.2172,1.0070,0.1895,0.5413,0.0670,0.0292,0.1487,0.1896,29,166,16314,69727
ya_warmup5000000_sim5000000-464.h264ref-57B,2.7651,2.7909,1.0093,0.4346,0.6059,0.2287,0.5316,0.8208,0.2896,1402,306,1317,3231
ya_warmup5000000_sim5000000-429.mcf-192B,0.0911,0.1232,1.3523,0.3630,0.5902,0.0053,0.3468,0.0000,0.3630,0,0,248450,435941
ya_warmup5000000_sim5000000-453.povray-252B,2.3457,2.3631,1.0074,0.5315,0.6061,0.0000,0.5677,0.2165,0.9000,76,275,270,30
ya_warmup5000000_sim5000000-444.namd-23B,3.5594,3.6215,1.0174,0.7308,0.8617,0.0000,0.8537,0.4218,0.9686,124,170,370,12
ya_warmup5000000_sim5000000-458.sjeng-1088B,1.3455,1.3465,1.0007,0.0349,0.0909,0.0696,0.0326,0.0968,0.0340,15,140,366,10403
ya_warmup5000000_sim5000000-434.zeusmp-10B,2.7236,3.1786,1.1671,0.2964,0.6890,0.2258,0.6202,0.0837,0.5026,1131,12386,7005,6932
ya_warmup5000000_sim5000000-433.milc-127B,0.5645,0.5556,0.9842,0.4256,0.1961,0.3565,0.1961,1.0000,0.1299,20527,0,5181,34702
ya_warmup5000000_sim5000000-447.dealII-3B,2.8341,2.8424,1.0029,0.9071,0.8824,0.2454,0.8824,0.9041,1.0000,2328,247,83,0
ya_warmup5000000_sim5000000-450.soplex-247B,0.4049,0.5836,1.4414,0.5343,0.6960,0.2657,0.4918,0.9716,0.4852,18709,547,83177,88268
ya_warmup5000000_sim5000000-401.bzip2-7B,2.0466,2.1551,1.0530,0.3701,0.6722,0.1229,0.2862,0.6456,0.3642,184,101,4860,8484
ya_warmup5000000_sim5000000-416.gamess-875B,2.8231,2.8346,1.0041,0.8719,0.6407,0.0000,0.6339,0.1562,0.9810,5,27,206,4
ya_warmup5000000_sim5000000-401.bzip2-277B,2.0844,1.3589,0.6519,0.1117,0.1540,0.0000,0.0000,0.0000,0.1117,0,0,24731,196688
ya_warmup5000000_sim5000000-482.sphinx3-1100B,1.1527,1.8645,1.6174,0.6111,0.8442,0.6368,0.7623,0.9826,0.5002,18522,328,31612,31581
ya_warmup5000000_sim5000000-454.calculix-104B,1.9375,1.9377,1.0001,1.0000,0.2500,0.2000,0.2500,1.0000,1.0000,2,0,1,0
ya_warmup5000000_sim5000000-481.wrf-455B,1.7980,2.9377,1.6339,0.9505,0.8679,0.7630,0.8650,0.9320,0.9674,13271,968,14998,505
