workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya-482.sphinx3-417B,1.3212,0.6376,0.7085,0.9548,0.3642,25565,1210,11314,19748
ya-456.hmmer-191B,1.0145,0.9272,0.9500,0.9321,0.8361,3158,230,153,30
ya-458.sjeng-283B,0.9989,0.0407,0.0542,0.0760,0.0316,142,1726,228,6989
ya-444.namd-33B,1.0398,0.7342,0.8939,0.6162,1.0000,1082,674,780,0
ya-444.namd-426B,1.0502,0.6808,0.8179,0.6560,0.7439,1726,905,767,264
ya-462.libquantum-1343B,1.7075,1.0000,0.8979,1.0000,0.0000,101510,0,0,0
ya-464.h264ref-97B,0.9990,0.5233,0.5104,0.8454,0.1140,2166,396,230,1787
ya-602.gcc_s-1850B,2.3921,0.8952,0.9022,0.9049,0.5332,92709,9741,1462,1280
ya-403.gcc-17B,1.3802,0.3894,0.8190,0.5696,0.3759,3172,2397,27959,46422
ya-410.bwaves-945B,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya-459.GemsFDTD-1491B,1.8161,0.9114,0.7829,0.9101,0.9416,92250,9108,3886,241
ya-433.milc-337B,1.1221,0.9891,0.5930,0.9918,0.9114,34391,285,1101,107
ya-482.sphinx3-1297B,1.3924,0.7390,0.8039,0.9638,0.4020,32211,1209,8960,13329
ya-456.hmmer-327B,1.0133,0.9298,0.9098,0.9308,0.8824,3293,245,60,8
ya-473.astar-153B,0.9151,0.1679,0.0000,0.2747,0.1378,1745,4608,3110,19461
ya-450.soplex-92B,1.4290,0.4582,0.6565,0.6703,0.3901,23860,11736,43247,67602
ya-458.sjeng-767B,0.9987,0.0313,0.0424,0.0865,0.0213,106,1119,144,6606
ya-400.perlbench-50B,0.9982,0.7429,0.3000,0.5500,1.0000,11,9,15,0
ya-459.GemsFDTD-1169B,1.0208,0.9469,0.8990,0.9501,0.8984,15621,820,973,110
ya-410.bwaves-1963B,2.0935,0.9997,0.7383,0.9997,1.0000,57286,17,9563,0
ya-403.gcc-16B,1.0051,0.1713,0.4846,0.3567,0.1468,331,597,1030,5987
ya-437.leslie3d-134B,1.4563,0.6239,0.8425,0.8410,0.4351,13963,2639,8304,10783
ya-453.povray-576B,1.0025,0.2914,0.7361,0.2850,0.6149,2320,5819,99,62
ya-445.gobmk-30B,1.0143,0.1332,0.3336,0.2783,0.1089,624,1618,1459,11935
ya-482.sphinx3-1522B,1.6047,0.6912,0.8110,0.9468,0.4805,28893,1625,17786,19226
ya-483.xalancbmk-736B,1.0087,0.7294,0.0000,0.7824,0.2150,46372,12894,1314,4797
ya-437.leslie3d-265B,1.3730,0.9364,0.7998,0.9074,0.9732,11549,1178,9710,267
ya-481.wrf-1254B,1.5253,0.9656,0.9351,0.9675,0.8728,39807,1339,707,103
ya-481.wrf-816B,2.1414,0.9742,0.9619,0.9765,0.7193,64370,1550,433,169
ya-445.gobmk-36B,1.0163,0.1361,0.3284,0.2373,0.1215,405,1302,1433,10362
ya-600.perlbench_s-1273B,1.0002,1.0000,0.4000,1.0000,1.0000,1,0,1,0
ya-462.libquantum-714B,0.9535,0.9999,0.7945,0.9999,1.0000,107939,8,557,0
ya-445.gobmk-2B,1.0028,0.2351,0.3455,0.3629,0.2272,413,725,4190,14255
