workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya-602.gcc_s-2226B,1.0862,0.8061,0.2504,0.8827,0.3858,80034,10635,6380,10157
ya-481.wrf-196B,1.1098,0.9450,0.9252,0.9475,0.8511,17023,944,400,70
ya-481.wrf-1281B,1.5294,0.9580,0.9360,0.9606,0.8739,30003,1229,873,126
ya-429.mcf-51B,1.0462,0.1947,0.1919,0.1817,0.2057,27103,122025,35849,138428
ya-437.leslie3d-232B,1.6095,0.9447,0.7921,0.9163,0.9862,14908,1361,10960,153
ya-482.sphinx3-1395B,1.4279,0.8373,0.8065,0.9641,0.4760,41700,1552,7223,7951
ya-444.namd-120B,1.0191,0.7635,0.8856,0.7522,1.0000,6524,2149,415,0
ya-435.gromacs-134B,1.0070,0.3655,0.8010,0.2603,0.5665,535,1520,609,466
ya-473.astar-42B,1.0448,0.0848,0.4160,0.1243,0.0457,13235,93276,4919,102678
ya-410.bwaves-2097B,2.0595,0.9997,0.7256,0.9996,1.0000,56408,23,9377,0
ya-459.GemsFDTD-1320B,1.0403,0.0813,0.2643,0.2781,0.0351,3788,9831,2036,55979
ya-471.omnetpp-188B,0.8956,0.2183,0.2181,0.3362,0.2017,6109,12063,25999,102931
ya-444.namd-321B,1.0050,0.5952,0.8691,0.5891,1.0000,2888,2014,73,0
ya-459.GemsFDTD-765B,1.1655,0.4870,0.5185,0.9585,0.2970,13595,588,10452,24742
ya-437.leslie3d-149B,1.4668,0.6625,0.8256,0.8632,0.4595,14194,2249,7473,8791
ya-435.gromacs-228B,1.0093,0.2901,0.4744,0.2555,1.0000,1226,3572,234,0
ya-459.GemsFDTD-1211B,1.1902,0.5275,0.5627,0.9468,0.3552,13123,738,11983,21753
ya-429.mcf-184B,1.1954,0.1789,0.2396,0.0621,0.1791,70,1058,95086,435679
ya-436.cactusADM-1804B,1.1733,0.9765,0.5188,0.9698,0.9913,7235,225,3312,29
ya-444.namd-166B,1.0468,0.7151,0.8771,0.6527,1.0000,2565,1365,861,0
ya-482.sphinx3-234B,1.6253,0.7032,0.7853,0.8955,0.6127,18852,2200,27428,17338
ya-600.perlbench_s-210B,1.0003,0.4910,0.4355,0.2793,0.8947,81,209,136,16
ya-465.tonto-44B,0.9995,0.5625,0.5094,0.6818,0.5270,15,7,39,35
ya-473.astar-359B,1.0740,0.1236,0.3190,0.1377,0.0945,17673,110682,5877,56323
ya-483.xalancbmk-716B,1.0446,0.6548,0.4414,0.6693,0.3279,33127,16370,718,1472
ya-401.bzip2-226B,1.0022,0.9987,0.7675,0.9987,0.0000,1499,2,0,0
ya-470.lbm-1274B,0.9101,0.9989,0.7707,1.0000,0.6477,27523,0,57,31
ya-454.calculix-460B,1.0890,0.8535,0.8981,0.8711,0.5901,44912,6645,2036,1414
ya-437.leslie3d-271B,1.9402,0.9917,0.9598,0.9917,0.0000,11774,98,0,0
ya-435.gromacs-111B,1.0075,0.3449,0.8178,0.2100,0.6154,443,1667,648,405
ya-429.mcf-217B,1.6649,0.8281,0.8469,0.8871,0.7695,15708,1999,13751,4118
ya-429.mcf-22B,1.0656,0.5521,0.3317,0.7355,0.4815,10502,3777,17864,19237
ya-453.povray-800B,1.0006,0.3371,0.7447,0.3305,0.9846,2109,4273,64,1
ya-465.tonto-1914B,1.0073,0.7281,0.5163,0.8467,0.2584,7578,1372,584,1676
ya-453.povray-887B,1.0007,0.3430,0.8689,0.3410,0.9062,3016,5829,29,3
ya-401.bzip2-38B,1.2032,0.8512,0.9519,0.4137,0.8656,199,282,12709,1974
ya-459.GemsFDTD-1418B,1.6830,0.8907,0.7885,0.8834,0.9016,14443,1907,9972,1088
ya-483.xalancbmk-127B,1.1214,0.2756,0.4694,0.3754,0.2602,11851,19714,53421,151870
ya-481.wrf-1170B,1.0133,0.5778,0.4737,0.2809,0.9860,275,704,702,10
ya-464.h264ref-64B,1.1209,0.6146,0.8210,0.7927,0.4366,7314,1913,4030,5201
ya-445.gobmk-17B,1.0244,0.2135,0.5480,0.2883,0.2031,459,1133,2313,9078
ya-464.h264ref-30B,0.9974,0.5268,0.4038,0.8550,0.1229,2141,363,250,1785
ya-433.milc-274B,1.0937,0.9299,0.4707,0.9982,0.2525,26764,47,683,2022
ya-403.gcc-48B,1.0329,0.4974,0.6523,0.4741,0.5370,870,965,580,500
ya-444.namd-44B,1.0110,0.6350,0.4986,0.5875,1.0000,1041,731,231,0
ya-600.perlbench_s-570B,0.9990,0.5771,0.3383,0.2681,0.9951,74,202,203,1
ya-456.hmmer-88B,1.0086,0.7065,0.3918,0.8480,0.4423,2939,527,821,1035
ya-435.gromacs-226B,1.0139,0.2680,0.4523,0.2421,1.0000,1230,3851,180,0
ya-458.sjeng-31B,0.9993,0.0477,0.0677,0.1163,0.0311,225,1710,248,7723
ya-437.leslie3d-273B,1.3496,0.9397,0.8077,0.9002,0.9868,11173,1238,10256,137
ya-400.perlbench-41B,0.9755,0.1828,0.3969,0.2660,0.1735,1800,4967,10513,50095
ya-464.h264ref-57B,1.0064,0.5254,0.5560,0.8113,0.2411,2523,587,754,2373
ya-429.mcf-192B,1.1664,0.0877,0.1859,0.0000,0.0877,0,0,30891,321458
ya-453.povray-252B,1.0028,0.2892,0.5495,0.2704,0.9809,2082,5617,205,4
ya-444.namd-23B,1.0173,0.6306,0.8317,0.6114,0.9797,2182,1387,193,4
ya-458.sjeng-1088B,1.0006,0.0437,0.0759,0.0867,0.0352,138,1453,285,7807
ya-434.zeusmp-10B,1.1809,0.1862,0.6534,0.1401,0.4224,6260,38407,3681,5033
ya-433.milc-127B,0.9669,0.9967,0.1938,1.0000,0.9899,17310,0,8100,83
ya-447.dealII-3B,1.0021,0.8797,0.8487,0.8779,1.0000,4372,608,72,0
ya-450.soplex-247B,1.3768,0.6042,0.6055,0.8832,0.4877,37753,4991,49932,52448
ya-401.bzip2-7B,1.0330,0.4310,0.5131,0.5826,0.3859,1361,975,3036,4831
ya-416.gamess-875B,1.0035,0.5063,0.5119,0.3540,1.0000,171,312,149,0
ya-401.bzip2-277B,0.8590,0.1632,0.0912,0.0418,0.1636,11,252,13636,69707
ya-482.sphinx3-1100B,1.5827,0.6692,0.7814,0.9366,0.4838,26654,1805,19860,21190
ya-454.calculix-104B,1.0001,1.0000,0.2500,1.0000,1.0000,2,0,1,0
ya-481.wrf-455B,1.6475,0.9340,0.8870,0.9358,0.9116,30709,2106,2484,241
