workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim20000000-458.sjeng-1088B,1.3554,1.3509,0.9967,0.0377,0.0370,0.0667,0.0223,1021,14286,642,28195
ya_warmup5000000_sim20000000-434.zeusmp-10B,2.7227,3.2425,1.1909,0.1439,0.6554,0.1261,0.3521,36623,253763,8724,16050
ya_warmup5000000_sim20000000-433.milc-127B,0.4367,0.4400,1.0075,0.9421,0.1778,0.9424,0.9360,90990,5566,3453,236
ya_warmup5000000_sim20000000-447.dealII-3B,2.8293,2.8309,1.0005,0.7387,0.8698,0.7386,0.8140,21361,7561,35,8
ya_warmup5000000_sim20000000-450.soplex-247B,0.3247,0.4053,1.2485,0.5700,0.4718,0.7514,0.4151,209630,69364,135526,190998
ya_warmup5000000_sim20000000-401.bzip2-7B,1.9872,2.0736,1.0435,0.7431,0.6209,0.8363,0.4365,88232,17271,14008,18082
ya_warmup5000000_sim20000000-416.gamess-875B,2.8097,2.8165,1.0024,0.2330,0.6572,0.2037,0.9519,1452,5677,277,14
ya_warmup5000000_sim20000000-401.bzip2-277B,2.0005,1.8367,0.9181,0.1703,0.1499,0.1347,0.1703,73,469,39625,193007
ya_warmup5000000_sim20000000-482.sphinx3-1100B,1.1681,1.8644,1.5961,0.6762,0.7829,0.8609,0.4611,127448,20584,58617,68500
ya_warmup5000000_sim20000000-454.calculix-104B,1.9375,1.9376,1.0000,1.0000,0.4545,1.0000,1.0000,17,0,3,0
ya_warmup5000000_sim20000000-481.wrf-455B,1.8233,2.9958,1.6430,0.9355,0.9177,0.9392,0.5607,122774,7951,711,557
