workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_20M_w5M-482.sphinx3-417B,1.2970,0.5897,0.6594,0.8942,0.3052,122331,14475,44673,101710
ya_20M_w5M-456.hmmer-191B,1.0165,0.7347,0.9287,0.7318,0.8549,15742,5768,436,74
ya_20M_w5M-458.sjeng-283B,0.9962,0.0436,0.0492,0.0836,0.0292,814,8920,792,26314
ya_20M_w5M-444.namd-33B,1.0266,0.4963,0.9125,0.4851,0.8829,15597,16553,822,109
ya_20M_w5M-444.namd-426B,1.0354,0.5333,0.8676,0.5314,0.5695,30397,26802,1700,1285
ya_20M_w5M-462.libquantum-1343B,1.7894,0.9985,0.9031,0.9985,0.0000,409415,603,0,0
ya_20M_w5M-464.h264ref-97B,1.0683,0.5192,0.7414,0.6379,0.3644,23390,13275,10249,17880
ya_20M_w5M-602.gcc_s-1850B,2.4526,0.8375,0.9075,0.8424,0.3779,391662,73295,1861,3063
ya_20M_w5M-403.gcc-17B,1.2745,0.3145,0.6459,0.3203,0.3139,12371,26247,125118,273487
ya_20M_w5M-410.bwaves-945B,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
ya_20M_w5M-459.GemsFDTD-1491B,1.8009,0.9087,0.7646,0.9097,0.0443,375617,37271,22,475
ya_20M_w5M-433.milc-337B,1.1237,0.9762,0.5928,0.9784,0.6394,140716,3107,587,331
ya_20M_w5M-482.sphinx3-1297B,1.4040,0.7318,0.7669,0.9223,0.3028,160620,13538,23418,53924
ya_20M_w5M-456.hmmer-327B,1.0129,0.6599,0.5965,0.6984,0.3785,16940,7314,1259,2067
ya_20M_w5M-473.astar-153B,0.8807,0.1646,0.0000,0.2251,0.1409,7417,25539,11853,72298
ya_20M_w5M-450.soplex-92B,1.3215,0.4707,0.5458,0.7122,0.3429,144274,58297,131327,251610
ya_20M_w5M-458.sjeng-767B,0.9934,0.0372,0.0303,0.0632,0.0250,859,12728,722,28135
ya_20M_w5M-400.perlbench-50B,0.9990,0.3689,0.4227,0.3081,1.0000,432,970,135,0
ya_20M_w5M-459.GemsFDTD-1169B,0.8326,0.1547,0.2952,0.2821,0.0817,75280,191564,38094,428133
ya_20M_w5M-410.bwaves-1963B,2.1005,0.9799,0.7497,0.9799,1.0000,274170,5636,57,0
ya_20M_w5M-403.gcc-16B,1.0054,0.1723,0.4294,0.2968,0.1379,1739,4120,2919,18249
ya_20M_w5M-437.leslie3d-134B,1.5614,0.6018,0.8704,0.7469,0.4014,73983,25068,28795,42946
ya_20M_w5M-453.povray-576B,1.0063,0.2992,0.6061,0.2865,0.5171,14158,35266,1498,1399
ya_20M_w5M-445.gobmk-30B,0.9921,0.1242,0.0868,0.2051,0.0968,4110,15932,5737,53531
ya_20M_w5M-482.sphinx3-1522B,1.5183,0.6721,0.7976,0.8903,0.3919,134811,16616,46209,71707
ya_20M_w5M-483.xalancbmk-736B,1.0058,0.6481,0.0000,0.6672,0.3095,219144,109295,5738,12802
ya_20M_w5M-437.leslie3d-265B,1.4238,0.8916,0.8258,0.8663,0.9689,69779,10767,25571,820
ya_20M_w5M-481.wrf-1254B,1.6158,0.9347,0.9378,0.9359,0.8134,159131,10899,1312,301
ya_20M_w5M-481.wrf-816B,2.3049,0.9726,0.9641,0.9749,0.2346,258183,6647,190,620
ya_20M_w5M-445.gobmk-36B,0.9885,0.1423,0.2773,0.2126,0.1285,3531,13081,10889,73820
ya_20M_w5M-600.perlbench_s-1273B,1.0001,0.3414,0.3696,0.2239,0.9665,249,863,202,7
ya_20M_w5M-462.libquantum-714B,0.9068,0.9973,0.7140,0.9973,0.0000,460645,1239,0,0
ya_20M_w5M-445.gobmk-2B,0.9975,0.1855,0.3056,0.1923,0.1838,3428,14399,12925,57384
ya_20M_w5M-602.gcc_s-2226B,1.1020,0.7809,0.2524,0.8219,0.4469,329933,71500,22007,27237
ya_20M_w5M-481.wrf-196B,1.5559,0.9129,0.9448,0.9145,0.7623,78621,7354,683,213
ya_20M_w5M-481.wrf-1281B,1.2582,0.9429,0.8999,0.9447,0.7217,174909,10244,1084,418
ya_20M_w5M-429.mcf-51B,1.0535,0.1651,0.1779,0.1175,0.2375,89517,672010,118878,381678
ya_20M_w5M-437.leslie3d-232B,1.6636,0.9255,0.8389,0.9178,0.9631,103858,9305,22220,851
ya_20M_w5M-482.sphinx3-1395B,1.4069,0.7625,0.7846,0.9249,0.3315,162295,13174,21915,44191
ya_20M_w5M-444.namd-120B,1.0400,0.5034,0.8949,0.4865,0.7719,18647,19682,1858,549
ya_20M_w5M-435.gromacs-134B,1.0070,0.4352,0.7017,0.2694,0.6298,2491,6755,4959,2915
ya_20M_w5M-473.astar-42B,0.8455,0.0625,0.0000,0.0818,0.0345,46721,524662,13542,378646
ya_20M_w5M-410.bwaves-2097B,2.0645,0.9819,0.7416,0.9819,1.0000,272016,5010,36,0
ya_20M_w5M-459.GemsFDTD-1320B,1.0328,0.0893,0.3077,0.1320,0.0391,25080,164981,6295,154842
ya_20M_w5M-471.omnetpp-188B,0.8623,0.2114,0.1669,0.2424,0.2056,22124,69152,100354,387827
ya_20M_w5M-444.namd-321B,1.0268,0.4611,0.9209,0.4380,0.8290,13172,16904,1566,323
ya_20M_w5M-459.GemsFDTD-765B,1.3019,0.4562,0.5284,0.9025,0.2234,67223,7259,31904,110897
ya_20M_w5M-437.leslie3d-149B,1.5464,0.6351,0.8574,0.7779,0.4201,74606,21295,26780,36968
ya_20M_w5M-435.gromacs-228B,1.0104,0.2713,0.4619,0.2420,0.9442,4971,15572,846,50
ya_20M_w5M-459.GemsFDTD-1211B,1.3295,0.5001,0.5824,0.8923,0.2873,65607,7921,38910,96536
ya_20M_w5M-429.mcf-184B,1.1598,0.1448,0.2190,0.0484,0.1568,12005,236075,312686,1680887
ya_20M_w5M-436.cactusADM-1804B,1.2514,0.7723,0.7367,0.7322,0.9706,54612,19979,14659,444
ya_20M_w5M-README.md,1.0000,0.0000,1.0000,0.0000,0.0000,0,0,0,0
ya_20M_w5M-444.namd-166B,1.0263,0.5029,0.8890,0.4893,0.9974,20271,21159,1134,3
ya_20M_w5M-482.sphinx3-234B,1.6278,0.6491,0.7580,0.7517,0.5578,94495,31213,78866,62523
ya_20M_w5M-600.perlbench_s-210B,1.0000,0.2986,0.4498,0.2326,0.6880,365,1204,183,83
ya_20M_w5M-465.tonto-44B,1.0011,0.7791,0.5704,0.8316,0.1695,26579,5384,466,2283
ya_20M_w5M-473.astar-359B,1.0762,0.1064,0.3382,0.1283,0.0619,68581,466077,16271,246788
ya_20M_w5M-483.xalancbmk-716B,1.0491,0.5157,0.4247,0.5216,0.1713,133164,122135,753,3643
ya_20M_w5M-401.bzip2-226B,1.0455,0.5778,0.7223,0.5063,0.9477,10122,9869,3658,202
ya_20M_w5M-470.lbm-1274B,0.9087,0.8899,0.7834,0.8899,0.0000,111467,13790,0,0
ya_20M_w5M-454.calculix-460B,1.0661,0.8920,0.9058,0.8950,0.6592,213348,25041,1994,1031
ya_20M_w5M-437.leslie3d-271B,2.1928,0.9940,0.9630,0.9940,0.0000,47247,283,0,0
ya_20M_w5M-435.gromacs-111B,1.0049,0.3261,0.8019,0.2038,0.6037,2262,8836,2951,1937
ya_20M_w5M-429.mcf-217B,1.2109,0.6763,0.1476,0.7843,0.4688,139955,38502,43512,49305
ya_20M_w5M-429.mcf-22B,1.0867,0.5094,0.2741,0.7054,0.3980,74616,31169,74037,112002
ya_20M_w5M-453.povray-800B,0.9963,0.2944,0.5522,0.2933,0.7200,26592,64086,180,70
ya_20M_w5M-465.tonto-1914B,1.0066,0.6720,0.6500,0.7340,0.1715,50336,18244,1456,7034
ya_20M_w5M-453.povray-887B,0.9945,0.3147,0.7929,0.3144,0.9000,27815,60649,36,4
ya_20M_w5M-401.bzip2-38B,1.1598,0.8789,0.9396,0.9407,0.8546,14491,913,33536,5704
