workload,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_20M_w5M-459.GemsFDTD-1418B,1.7987,0.8638,0.8457,0.8563,0.8952,89813,15073,22540,2640
ya_20M_w5M-483.xalancbmk-127B,1.1173,0.2614,0.4507,0.3331,0.2480,50580,101259,202438,613766
ya_20M_w5M-481.wrf-1170B,1.0154,0.3694,0.5640,0.2392,0.9497,3456,10994,3079,163
ya_20M_w5M-464.h264ref-64B,1.0569,0.5399,0.7723,0.6395,0.4136,15121,8524,7702,10922
ya_20M_w5M-445.gobmk-17B,1.0078,0.1810,0.4506,0.2761,0.1432,4373,11465,5707,34146
ya_20M_w5M-464.h264ref-30B,0.9938,0.5288,0.3184,0.7140,0.2620,11857,4750,3020,8507
ya_20M_w5M-433.milc-274B,1.0937,0.9385,0.4714,0.9548,0.2714,109008,5163,756,2030
ya_20M_w5M-403.gcc-48B,1.0324,0.3973,0.6652,0.4267,0.2304,14963,20102,1423,4752
ya_20M_w5M-444.namd-44B,1.0057,0.6270,0.6689,0.6255,1.0000,60409,36171,400,0
ya_20M_w5M-600.perlbench_s-570B,1.0007,0.3624,0.3879,0.2099,0.8013,368,1385,488,121
ya_20M_w5M-456.hmmer-88B,1.0125,0.6856,0.5311,0.7015,0.5313,14904,6342,1164,1027
ya_20M_w5M-435.gromacs-226B,1.0121,0.2570,0.4525,0.2281,0.9445,4596,15557,800,47
ya_20M_w5M-458.sjeng-31B,0.9943,0.0459,0.0428,0.0994,0.0255,1342,12159,903,34549
ya_20M_w5M-437.leslie3d-273B,1.5170,0.9011,0.8599,0.8804,0.9678,61567,8360,20907,696
ya_20M_w5M-400.perlbench-41B,0.9653,0.1577,0.3537,0.2007,0.1478,7280,28987,23274,134211
ya_20M_w5M-464.h264ref-57B,1.0783,0.5053,0.7167,0.6303,0.3868,19580,11487,12670,20085
ya_20M_w5M-429.mcf-192B,1.1617,0.0799,0.1870,0.0099,0.0802,46,4624,105654,1211844
ya_20M_w5M-453.povray-252B,0.9970,0.2799,0.5613,0.2777,0.7164,19333,50279,245,97
ya_20M_w5M-444.namd-23B,1.0271,0.4692,0.8838,0.4589,0.7182,15461,18227,994,390
ya_20M_w5M-458.sjeng-1088B,0.9936,0.0321,0.0322,0.0640,0.0186,1075,15711,735,38825
ya_20M_w5M-434.zeusmp-10B,1.1857,0.1461,0.6584,0.1314,0.3000,39442,260793,8637,20157
ya_20M_w5M-433.milc-127B,1.0114,0.9392,0.1844,0.9394,0.9337,94781,6116,3253,231
ya_20M_w5M-447.dealII-3B,1.0007,0.7436,0.8921,0.7434,0.8475,23289,8040,50,9
ya_20M_w5M-450.soplex-247B,1.2523,0.5494,0.4803,0.7431,0.3953,212431,73426,141942,217173
ya_20M_w5M-401.bzip2-7B,1.0444,0.7357,0.6232,0.8291,0.4341,88611,18271,14356,18715
ya_20M_w5M-416.gamess-875B,1.0024,0.2309,0.6617,0.2020,0.9626,1501,5930,283,11
ya_20M_w5M-401.bzip2-277B,0.9110,0.1660,0.1490,0.1837,0.1660,72,320,41093,206481
ya_20M_w5M-482.sphinx3-1100B,1.6116,0.6681,0.7840,0.8509,0.4596,126929,22233,60112,70674
ya_20M_w5M-454.calculix-104B,1.0000,1.0000,0.4545,1.0000,1.0000,17,0,3,0
ya_20M_w5M-481.wrf-455B,1.6655,0.9274,0.9435,0.9311,0.5551,126961,9401,736,590
